ts_code,symbol,name,list_date,market,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier
000002.SZ,000002,万科Ａ,19910129,主板,481263566.3000001,-11.02564102564102,房地产开发,未知,801181.SI,430000,3.47,,,0.3745,1.3557,4139956.1864,3371776.7452,459378842.4,False,0,0,False,False,4.16,-8.201058201058187,-30.181086519114686,-16.58653846153846,False,-11.02564102564102,-3.057119871279157,11.67,-89.27,-5334173713.54,,,,-129328697212.95999,,-5.234,0,4139956.1864,459378842.4,1.0,1.5,PASS,False,0.847457627118644,11.67,-89.27,-7.28,26.23,ESP-Q,,0.3745,-5.234,,87.53592727272726,0.0,0.0,3.47,4.16,0,65.922107674685,,0.2413793103448276,0,0,5.0,9,-7.1794871794871655,False,-8.201058201058187,,-0.08077342179655948,False,False,房地产开发,26.23,-0.10722579473869107,32.0,28.6766323024055,0.7,0.0,20.07,Other
000006.SZ,000006,深振业Ａ,19920427,主板,461591160.29999995,8.169596690796288,房地产开发,未知,801181.SI,430000,10.46,,,2.6301,4.1782,1412094.8181,1412084.1489,604726505.8,True,2,2,False,False,11.25,7.61316872427984,10.92258748674444,-7.022222222222219,False,8.169596690796288,-3.057119871279157,124.77,96.6,6931220.37,92.0793,,,-134432268.94,1215.9487,0.1403,0,1412094.8181,604726505.8,1.0,1.5,PASS,False,0.847457627118644,124.77,96.6,-7.28,139.32999999999998,,,2.6301,0.1403,,87.53592727272726,0.0,0.0,10.46,11.25,0,65.922107674685,,0.8620689655172413,1,1,100.0,9,12.015750536950144,True,7.61316872427984,,0.020355250833054242,False,False,房地产开发,139.32999999999998,0.16491478532310888,50.0,79.7766323024055,1.0,0.0,79.78,Tier1
000007.SZ,000007,全新好,19920413,主板,201486584.15,-15.36780772032047,综合,未知,801231.SI,510000,11.62,2088.8741,,22.4785,3.7747,402572.6271,402572.6271,154512695.20000002,False,1,0,False,False,17.79,-8.43183609141056,-6.365834004834814,-34.68240584598089,False,-15.36780772032047,-3.057119871279157,-231.39,-63.71,-2328706.65,,,,6040372.59,,-1.2047,0,402572.6271,154512695.20000002,1.0,1.5,PASS,False,0.9322033898305084,-231.39,-63.71,-7.0,-115.695,,2088.8741,22.4785,-1.2047,,210.72467916666668,0.0,0.0,11.62,17.79,0,84.87972508591065,,0.13513513513513514,0,0,5.0,12,-11.301677246683296,False,-8.43183609141056,,-0.03174496541352041,False,False,综合,-115.695,-0.5831911579231766,22.0,32.363917525773196,1.0,0.0,32.36,Other
000009.SZ,000009,中国宝安,19910625,主板,276477461.8000001,-12.725225225225234,综合,未知,801231.SI,510000,7.75,98.4473,384.9495,1.9929,0.9591,1998890.8229,1996415.8604,182657545.2,False,0,0,False,False,9.32,-2.146464646464641,-16.934619506966776,-16.845493562231763,False,-12.725225225225234,-3.057119871279157,-73.85,-341.34,20137217.24,115.3158,,,174329814.67,-56.7024,0.1743,0,1998890.8229,182657545.2,1.0,1.5,PASS,False,0.9322033898305084,-73.85,-341.34,-7.0,-36.925,ESP-Q,98.4473,1.9929,0.1743,,210.72467916666668,0.0,0.0,7.75,9.32,0,98.73997709049256,,0.21621621621621623,0,0,5.0,12,-8.659094751588059,False,-2.146464646464641,,-0.025566368626228075,False,False,综合,-36.925,-0.42368775181384566,32.0,38.521993127147766,0.7,0.0,26.97,Other
000021.SZ,000021,深科技,19940202,主板,4403063150.150001,26.06585788561524,计算机设备,未知,801101.SI,710000,36.37,50.4159,47.7562,4.2855,15.9524,5725629.3735,5724790.3176,8241378603.200001,True,1,1,False,False,39.99,8.051099227569814,12.635490864044584,-9.052263065766454,False,26.06585788561524,-3.057119871279157,14.93,7.48,142765477.92,58.9506,,,2004704871.01,32.1692,1.8307,0,5725629.3735,8241378603.200001,1.0,1.5,PASS,False,0.7288135593220338,14.93,7.48,7.12,14.93,ESP-Q,50.4159,4.2855,1.8307,3.3768184862692565,116.38087647058823,0.0,0.0,36.37,39.99,0,94.15807560137456,CHASE,0.8333333333333334,1,1,100.0,8,27.95168039643775,True,8.051099227569814,OVERHEAT,-0.012001301520105853,True,True,计算机设备,14.93,-0.2667722347994791,32.0,84.64742268041238,0.7,0.0,59.25,Tier2
000026.SZ,000026,飞亚达,19930603,主板,438596857.0500001,23.695420660276877,家用轻工,未知,801142.SI,360000,23.23,107.9493,88.0193,2.774,11.1918,942589.7883,846874.5828,537319396.8,True,1,1,False,False,23.98,14.886251236399616,50.550874918988995,-3.1276063386155184,False,23.695420660276877,-3.057119871279157,41.05,-60.15,62260608.55,95.6715,,,343555516.82,224.2321,1.9327,0,942589.7883,537319396.8,1.0,1.5,PASS,False,0.6271186440677966,41.05,-60.15,-14.92,70.89,ESP-Q,107.9493,2.774,1.9327,2.629702801461632,179.96904166666664,0.0,0.0,23.23,23.98,0,97.0217640320733,CHASE,0.8333333333333334,1,1,100.0,6,18.27038876498007,True,14.886251236399616,OVERHEAT,0.032294983149407014,True,True,家用轻工,70.89,-0.19418975596320856,32.0,85.50652920962199,0.7,0.0,59.85,Tier2
000027.SZ,000027,深圳能源,19930903,主板,413409580.1499999,5.5312954876273634,电力,未知,801161.SI,410000,7.25,16.3982,17.2361,1.031,1.2057,3449107.6891,3449107.6891,537697767.4,True,0,0,False,False,8.08,-0.13774104683195176,9.682299546142215,-10.272277227722771,False,5.5312954876273634,-3.057119871279157,-4.72,11.03,1208297243.66,96.7133,,,6486655118.37,60.578,2.4193,0,3449107.6891,537697767.4,1.0,1.5,PASS,False,0.3050847457627119,-4.72,11.03,0.02,-4.739999999999999,,16.3982,1.031,2.4193,,55.30460465116279,0.0,0.0,7.25,8.08,0,86.25429553264605,,0.7272727272727273,1,1,100.0,14,5.765947472605648,True,-0.13774104683195176,,-0.009442218462530785,False,False,电力,-4.739999999999999,-0.09409947680023345,32.0,82.2762886597938,1.0,0.0,82.28,Tier2
000032.SZ,000032,深桑达Ａ,19931028,主板,477360832.25,5.225522552255213,通信设备,未知,801102.SI,730000,19.13,,,3.1471,3.6014,2324638.0219,2176916.0146,716995590.4,False,0,0,False,False,21.35,4.023926046764537,-8.028846153846159,-10.39812646370024,False,5.225522552255213,-3.057119871279157,-100.82,-4265.07,-102347794.81,,,,-1013123619.62,2325.7655,-1.1099,0,2324638.0219,716995590.4,1.0,1.5,PASS,False,0.9830508474576272,-100.82,-4265.07,4.779999999999999,-105.6,,,3.1471,-1.1099,,182.74448076923076,0.0,0.0,19.13,21.35,0,90.26345933562429,,0.7,1,1,75.0,13,6.053269594673044,True,4.023926046764537,,0.012555362786670323,False,False,通信设备,-105.6,-0.559423660917244,22.0,68.97903780068728,1.0,0.0,68.98,Tier2
000034.SZ,000034,神州数码,19940509,主板,1586906406.1999998,-23.323295921160693,通信设备,未知,801102.SI,730000,28.01,54.4588,52.5768,2.543,7.8729,2847887.7961,2378463.1054,1817889139.3999999,True,0,0,False,False,43.75,-31.213163064833005,-26.211801896733398,-35.97714285714285,False,-23.323295921160693,-3.057119871279157,4.14,-30.7,233118208.42,98.7818,,,2028525193.75,-734.423,2.1229,0,2847887.7961,1817889139.3999999,1.0,1.5,PASS,False,0.9830508474576272,4.14,-30.7,4.779999999999999,-0.6399999999999997,ESP-Q,54.4588,2.543,2.1229,13.154299516908212,182.74448076923076,0.0,0.0,28.01,43.75,0,65.922107674685,,0.025,0,0,5.0,13,-22.495548878742863,False,-31.213163064833005,,-0.020071482466747108,False,False,通信设备,-0.6399999999999997,-0.222254814597403,32.0,28.6766323024055,0.7,0.0,20.07,Other
000035.SZ,000035,中国天楹,19940408,主板,311486117.09999996,-13.610315186246424,通信设备,未知,801102.SI,730000,6.03,50.7126,49.8144,1.3384,2.0178,1439983.7597,1394754.526,259298317.60000002,False,0,0,False,False,7.19,-2.584814216478193,3.965517241379324,-16.13351877607788,False,-13.610315186246424,-3.057119871279157,35.53,23.99,125036004.23,112.933,,,940127871.6700001,191.0652,1.0227,0,1439983.7597,259298317.60000002,1.0,1.5,PASS,False,0.9830508474576272,35.53,23.99,4.779999999999999,35.53,,50.7126,1.3384,1.0227,1.427317759639741,182.74448076923076,0.0,0.0,6.03,7.19,0,65.922107674685,,0.15,0,0,5.0,13,-12.782568143828593,False,-2.584814216478193,,-0.025126541506323683,False,False,通信设备,35.53,-0.1060639116687764,32.0,28.6766323024055,1.0,0.0,28.68,Other
