ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier
000001.SZ,000001,平安银行,19910403,,主板,L,1166530702.75,-1.9625334522747617,未知,未知,,,10.99,5.0025,4.9529,0.4596,0.5023,21327104.0996,21326755.1176,1059802101.1999999,False,0,0,False,False,11.6,10.92,-2.5709219858155996,-0.722673893405601,-5.258620689655169,False,-1.9625334522747617,1.410939133031408,3.2,-4.9,14488000000.0,99.759,,,120311000000.0,217.3903,2.652,0,21327104.0996,1059802101.1999999,1.0,1.5,PASS,False,0.4444444444444444,3.2,-4.9,1.0,3.2,ESP-Q,5.0025,0.4596,2.652,1.56328125,99.46392506573181,0.0,0.0,10.99,11.6,False,0,77.20504009163804,,0.37003058103975534,0,0,5.0,393,-3.7268475695300562,False,-2.5709219858155996,,-0.04105307019112342,False,False,独立池,3.2,0.0,20.887524390212548,29.83901690553392,0.7,0.0,20.89,Other
000002.SZ,000002,万科Ａ,19910129,,主板,L,461739107.15000004,-4.7858942065491235,未知,未知,,,3.78,,,0.408,1.2394,4509808.18,3673001.757,597666745.5999999,True,0,0,False,False,4.16,3.7,-7.579462102689483,-23.790322580645164,-9.134615384615397,False,-4.7858942065491235,1.410939133031408,11.67,-89.27,-5334173713.54,,,,-129328697212.95999,,-5.234,0,4509808.18,597666745.5999999,1.0,1.5,PASS,False,0.4444444444444444,11.67,-89.27,1.0,11.67,ESP-Q,,0.408,-5.234,,99.46392506573181,0.0,0.0,3.78,4.16,False,0,75.60137457044674,,0.27675840978593275,0,0,5.0,393,-6.5502083238044175,False,-7.579462102689483,,-0.015785971028169112,False,False,独立池,11.67,0.0,21.0112725034556,29.382666871825144,0.7,0.0,20.57,Other
000006.SZ,000006,深振业Ａ,19920427,,主板,L,400010979.4499999,10.706150341685671,未知,未知,,,9.72,,,2.444,3.4668,1312195.1847,1312185.2703,721913476.4000001,False,1,1,False,False,10.99,8.73,2.3157894736842266,3.6247334754797356,-11.555959963603268,False,10.706150341685671,1.410939133031408,124.77,96.6,6931220.37,92.0793,,,-58804585.82000001,1215.9487,0.1403,0,1312195.1847,721913476.4000001,1.0,1.5,PASS,False,0.4444444444444444,124.77,96.6,1.0,124.77,,,2.444,0.1403,,99.46392506573181,0.0,0.0,9.72,10.99,False,0,73.25315005727376,,0.7232415902140673,1,1,75.0,393,8.941836224430377,True,2.3157894736842266,,0.016182589966562317,False,False,独立池,124.77,0.0,22.663682374505097,64.00868149208316,1.0,0.0,64.01,Tier2
000009.SZ,000009,中国宝安,19910625,,主板,L,277557385.95000005,-10.609480812641081,未知,未知,,,7.92,100.6068,393.3935,2.0366,1.0095,2042737.4603,2040208.2083,258929262.2,False,0,0,False,False,9.32,7.87,-7.692307692307699,-18.012422360248447,-15.021459227467815,False,-10.609480812641081,1.410939133031408,-73.85,-341.34,20137217.24,115.3158,,,174329814.67,-56.7024,0.1743,0,2042737.4603,258929262.2,1.0,1.5,PASS,False,0.4444444444444444,-73.85,-341.34,1.0,-74.85,ESP-Q,100.6068,2.0366,0.1743,,99.46392506573181,0.0,0.0,7.92,9.32,False,0,72.16494845360825,,0.10626911314984709,0,0,5.0,393,-12.373794929896375,False,-7.692307692307699,,-0.054420346313892844,False,False,独立池,-74.85,0.0,19.747200867353012,28.098924709553074,0.7,0.0,19.67,Other
000019.SZ,000019,深粮控股,19921012,,主板,L,170752010.00000003,-10.191082802547768,未知,未知,,,7.05,33.4081,37.4722,1.6078,3.4354,812537.3541,293425.5169,126049453.60000001,False,0,0,False,False,8.43,6.98,-5.74866310160429,-1.5363128491620137,-16.37010676156584,False,-10.191082802547768,1.410939133031408,-32.97,-51.77,48842983.53,75.2065,,,579499764.05,235.5758,1.2934,0,812537.3541,126049453.60000001,1.0,1.5,PASS,False,0.4444444444444444,-32.97,-51.77,1.0,-33.97,ESP-Q,33.4081,1.6078,1.2934,,99.46392506573181,0.0,0.0,7.05,8.43,True,0,77.20504009163804,,0.11391437308868502,0,0,5.0,393,-11.955396919803063,False,-5.74866310160429,,-0.04841560581308414,False,False,独立池,-33.97,0.0,20.344464488294687,29.73040492515035,0.7,0.0,20.81,Other
000021.SZ,000021,深科技,19940202,,主板,L,2990870898.6500006,19.02404526166901,未知,未知,,,33.66,46.6593,44.1978,3.9662,10.0734,5299001.5043,5298224.9681,5144295408.0,True,0,0,False,False,36.0,27.95,2.0928116469517644,16.712898751733697,-6.500000000000005,False,19.02404526166901,1.410939133031408,14.93,7.48,142765477.92,58.9506,,,2004704871.01,32.1692,1.8307,0,5299001.5043,5144295408.0,1.0,1.5,PASS,False,0.4444444444444444,14.93,7.48,1.0,14.93,ESP-Q,46.6593,3.9662,1.8307,3.1252042866711323,99.46392506573181,0.0,0.0,33.66,36.0,False,0,92.78350515463917,CHASE,0.8356269113149847,1,1,100.0,393,17.259731144413713,True,2.0928116469517644,,0.0023746284087807316,True,False,独立池,14.93,0.0,21.05890164739567,82.04683187587088,0.7,0.0,57.43,Tier2
000026.SZ,000026,飞亚达,19930603,,主板,L,423232040.8500001,13.468013468013451,未知,未知,,,20.22,93.9619,76.6143,2.4146,6.1709,820454.8222,737141.8021,451698236.59999996,True,1,0,False,False,21.08,15.91,0.3972194637537063,29.201277955271564,-4.079696394686905,False,13.468013468013451,1.410939133031408,41.05,-60.15,62260608.55,95.6715,,,343555516.82,224.2321,1.9327,0,820454.8222,451698236.59999996,1.0,1.5,PASS,False,0.4444444444444444,41.05,-60.15,1.0,41.05,ESP-Q,93.9619,2.4146,1.9327,2.288962241169306,99.46392506573181,0.0,0.0,20.22,21.08,False,0,91.63802978235968,,0.7698776758409785,1,1,100.0,393,11.703699350758157,True,0.3972194637537063,,-0.01292141351175451,False,False,独立池,41.05,0.0,21.4405192055903,81.77951277582596,0.7,0.0,57.25,Tier2
000027.SZ,000027,深圳能源,19930903,,主板,L,336198770.24999994,8.845577211394296,未知,未知,,,7.26,16.4208,17.2598,1.0324,1.2794,3453865.079,3453865.079,502521131.40000004,False,0,0,False,False,7.72,6.65,0.9735744089012455,7.237813884785815,-5.958549222797926,False,8.845577211394296,1.410939133031408,-4.72,11.03,1208297243.66,96.7133,,,6486655118.37,60.578,2.4193,0,3453865.079,502521131.40000004,1.0,1.5,PASS,False,0.4444444444444444,-4.72,11.03,1.0,-5.72,,16.4208,1.0324,2.4193,,99.46392506573181,0.0,0.0,7.26,7.72,False,0,88.65979381443299,,0.6819571865443425,0,1,40.0,393,7.081263094139002,True,0.9735744089012455,,-0.005788752070087229,False,False,独立池,-5.72,0.0,20.757201701885744,50.749378484707044,1.0,0.0,50.75,Tier2
000029.SZ,000029,深深房Ａ,19930915,,主板,L,208623997.5,46.52812975164724,未知,未知,,,28.91,292.5996,1238.8654,8.094,1.6453,2924709.06,2577789.06,526752117.7999999,True,2,2,False,False,29.96,19.71,20.058139534883736,29.29338103756709,-3.5046728971962593,False,46.52812975164724,1.410939133031408,-111.22,218.37,-7640881.12,,,,453005648.38,,-0.1087,0,2924709.06,526752117.7999999,1.0,1.5,PASS,False,0.4444444444444444,-111.22,218.37,1.0,-112.22,,292.5996,8.094,-0.1087,,99.46392506573181,0.0,10.0,28.91,29.96,False,0,85.56701030927834,CHASE,0.9648318042813455,1,1,100.0,393,44.763815634391946,True,20.058139534883736,OVERHEAT,0.0162293980662214,True,True,独立池,-112.22,0.0,19.201218932064595,79.51034687919642,1.0,10.0,69.51,Tier2
000032.SZ,000032,深桑达Ａ,19931028,,主板,L,400606161.09999996,-1.1290322580645218,未知,未知,,,18.39,,,3.0254,1.8425,2234714.7529,2092707.0313,523931920.6,True,0,0,False,False,19.46,17.24,-3.5152151101783713,-9.542547958681736,-5.498458376156224,False,-1.1290322580645218,1.410939133031408,-100.82,-4265.07,-102347794.81,,,,-1013123619.62,2325.7655,-1.1099,0,2234714.7529,523931920.6,1.0,1.5,PASS,False,0.4444444444444444,-100.82,-4265.07,1.0,-101.82,,,3.0254,-1.1099,,99.46392506573181,0.0,0.0,18.39,19.46,False,0,89.3470790378007,,0.40519877675840976,0,0,5.0,393,-2.8933463753198163,False,-3.5152151101783713,,-0.02097425216952334,False,False,独立池,-101.82,0.0,19.353164667333516,33.17475664480691,1.0,0.0,33.17,Other
