ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier
000001.SZ,000001,平安银行,19910403,,主板,L,1215614136.6000004,-3.429602888086647,未知,未知,,,10.68,4.8614,4.8132,0.4466,0.4917,20725520.6355,20725181.4974,974226256.1999999,False,0,0,False,False,11.6,10.69,-2.638762511373982,-1.9248395967002785,-7.758620689655171,False,-3.429602888086647,-3.057119871279157,3.2,-4.9,14488000000.0,99.759,,,120311000000.0,217.3903,2.652,0,20725520.6355,974226256.1999999,1.0,1.5,PASS,False,0.2857142857142857,3.2,-4.9,2.125,3.2,ESP-Q,4.8614,0.4466,2.652,1.5191875,87.7931712264151,0.0,0.0,10.68,11.6,0,67.81214203894616,,0.5553435114503816,0,0,5.0,158,1.3846542030873934,False,-2.638762511373982,,-0.04163735444817503,False,False,独立池,3.2,0.0,22.161952417240606,27.276033095131968,0.7,0.0,19.09,Other
000002.SZ,000002,万科Ａ,19910129,,主板,L,481263566.3000001,-11.02564102564102,房地产开发,房地产,801181.SI,430000,3.46,,,0.3735,0.8918,4128025.477,3362059.8093,459378842.4,False,0,0,False,False,4.16,3.47,-8.201058201058187,-29.471544715447152,-16.58653846153846,False,-11.02564102564102,-3.057119871279157,11.67,-89.27,-5334173713.54,,,,-129328697212.95999,,-5.234,0,4128025.477,459378842.4,1.0,1.5,PASS,False,0.6666666666666666,11.67,-89.27,-25.055,5.835,,,0.3735,-5.234,,71.32621,0.0,0.0,3.46,4.16,0,65.2348224513173,,0.19230769230769232,0,0,5.0,8,-9.61843275322436,False,-8.201058201058187,,-0.08319175993419052,False,False,房地产开发,5.835,-0.018297969560826105,32.0,28.470446735395193,1.0,0.0,28.47,Other
000006.SZ,000006,深振业Ａ,19920427,,主板,L,461591160.29999995,8.169596690796288,房地产开发,房地产,801181.SI,430000,10.88,,,2.7357,3.5696,1468794.61,1468783.5124,604726505.8,True,2,2,False,False,11.25,9.09,7.61316872427984,12.837108953613829,-7.022222222222219,False,8.169596690796288,-3.057119871279157,124.77,96.6,6931220.37,92.0793,,,-134432268.94,1215.9487,0.1403,0,1468794.61,604726505.8,1.0,1.5,PASS,False,0.6666666666666666,124.77,96.6,-25.055,174.88,,,2.7357,0.1403,,71.32621,0.0,0.0,10.88,11.25,0,65.2348224513173,,0.7692307692307693,1,1,100.0,8,9.576804963212949,True,7.61316872427984,,0.020922911893463306,False,False,房地产开发,174.88,0.87373975470597,50.0,79.5704467353952,1.0,0.0,79.57,Tier1
000007.SZ,000007,全新好,19920413,,主板,L,201486584.15,-15.36780772032047,一般零售,商业贸易,801203.SI,450000,12.46,2239.877,,24.1034,8.9416,431674.2628,431674.2628,154512695.20000002,False,1,0,False,False,17.79,11.58,-8.43183609141056,-8.503937007874018,-34.68240584598089,False,-15.36780772032047,-3.057119871279157,-231.39,-63.71,-2328706.65,,,,6040372.59,,-1.2047,0,431674.2628,154512695.20000002,1.0,1.5,PASS,False,0.5,-231.39,-63.71,-2.72,-115.695,,2239.877,24.1034,-1.2047,,294.39719,0.0,0.0,12.46,17.79,0,80.29782359679267,,0.29411764705882354,0,0,5.0,6,-5.4518413337658505,False,-8.43183609141056,,-0.032278743167899505,False,False,一般零售,-115.695,-2.1064271769619083,12.0,28.9893470790378,1.0,0.0,28.99,Other
000009.SZ,000009,中国宝安,19910625,,主板,L,276477461.8000001,-12.725225225225234,未知,未知,,,7.76,98.5743,385.4462,1.9954,0.6609,2001470.0368,1998991.8808,182657545.2,False,0,0,False,False,9.32,7.69,-2.146464646464641,-18.763102725366863,-16.845493562231763,False,-12.725225225225234,-3.057119871279157,-73.85,-341.34,20137217.24,115.3158,,,174329814.67,-56.7024,0.1743,0,2001470.0368,182657545.2,1.0,1.5,PASS,False,0.2857142857142857,-73.85,-341.34,2.125,-75.975,ESP-Q,98.5743,1.9954,0.1743,,87.7931712264151,0.0,0.0,7.76,9.32,0,99.3127147766323,,0.183206106870229,0,0,5.0,158,-7.910968134051194,False,-2.146464646464641,,-0.02781746219568372,False,False,独立池,-75.975,0.0,20.994249440323433,36.49266432105438,0.7,0.0,25.54,Other
000021.SZ,000021,深科技,19940202,,主板,L,4403063150.150001,26.06585788561524,电子制造,电子,801085.SI,270000,37.73,52.3011,49.542,4.4458,12.1496,5939730.4443,5938860.0132,8241378603.200001,True,1,1,False,False,39.99,28.0,8.051099227569814,7.699141249629826,-9.052263065766454,False,26.06585788561524,-3.057119871279157,14.93,7.48,142765477.92,58.9506,,,2004704871.01,32.1692,1.8307,0,5939730.4443,8241378603.200001,1.0,1.5,PASS,False,0.40476190476190477,14.93,7.48,-24.075000000000003,7.465,ESP-Q,52.3011,4.4458,1.8307,3.5030877427997322,87.6280681818182,0.0,0.0,37.73,39.99,0,96.90721649484536,CHASE,0.9615384615384616,1,1,100.0,8,21.437389120060235,True,8.051099227569814,OVERHEAT,-0.011241039935481922,True,True,电子制造,7.465,-0.28131086591228216,32.0,85.47216494845361,0.7,0.0,59.83,Tier2
000026.SZ,000026,飞亚达,19930603,,主板,L,438596857.0500001,23.695420660276877,未知,未知,,,25.55,118.7303,96.8099,3.051,6.5606,1036727.0379,931452.6728,537319396.8,True,1,1,False,False,23.98,16.92,14.886251236399616,47.7735368956743,-3.1276063386155184,False,23.695420660276877,-3.057119871279157,41.05,-60.15,62260608.55,95.6715,,,343555516.82,224.2321,1.9327,0,1036727.0379,537319396.8,1.0,1.5,PASS,False,0.2857142857142857,41.05,-60.15,2.125,41.05,ESP-Q,118.7303,3.051,1.9327,2.892333739342266,87.7931712264151,0.0,0.0,25.55,23.98,0,95.87628865979381,CHASE,0.9351145038167938,1,1,100.0,158,28.509677751450916,True,14.886251236399616,OVERHEAT,0.04115293951044133,True,True,独立池,41.05,0.0,22.720178595659487,83.30692231707005,0.7,0.0,58.31,Tier2
000027.SZ,000027,深圳能源,19930903,,主板,L,413409580.1499999,5.5312954876273634,电力,公用事业,801161.SI,410000,7.31,16.5339,17.3787,1.0395,0.8341,3477652.0286,3477652.0286,537697767.4,True,0,0,False,False,8.08,6.68,-0.13774104683195176,7.566765578635004,-10.272277227722771,False,5.5312954876273634,-3.057119871279157,-4.72,11.03,1208297243.66,96.7133,,,6486655118.37,60.578,2.4193,0,3477652.0286,537697767.4,1.0,1.5,PASS,False,0.21428571428571427,-4.72,11.03,-1.575,-2.36,,16.5339,1.0395,2.4193,,43.696173170731704,0.0,0.0,7.31,8.08,0,69.0721649484536,,0.6666666666666666,0,1,55.0,13,4.576649941099564,False,-0.13774104683195176,,-0.004253162838890542,False,False,电力,-2.36,-0.11488015950444086,32.0,54.62164948453608,1.0,0.0,54.62,Tier2
000032.SZ,000032,深桑达Ａ,19931028,,主板,L,477360832.25,5.225522552255213,专业工程,建筑装饰,801724.SI,620000,19.19,,,3.157,3.1198,2331929.0978,2183743.77,716995590.4,False,0,0,False,False,21.35,17.24,4.023926046764537,-3.869346733668344,-10.39812646370024,False,5.225522552255213,-3.057119871279157,-100.82,-4265.07,-102347794.81,,,,-1013123619.62,2325.7655,-1.1099,0,2331929.0978,716995590.4,1.0,1.5,PASS,False,0.35714285714285715,-100.82,-4265.07,-13.35,-50.41,,,3.157,-1.1099,,69.65643999999999,0.0,0.0,19.19,21.35,0,90.26345933562429,,0.75,1,1,75.0,5,13.526359017482875,True,4.023926046764537,,0.016650667349459875,False,False,专业工程,-50.41,-0.9587816412929712,22.0,68.97903780068728,1.0,0.0,68.98,Tier2
000034.SZ,000034,神州数码,19940509,,主板,L,1586906406.1999998,-23.323295921160693,未知,未知,,,29.07,56.5197,54.5665,2.6393,5.8376,2955662.2003,2468472.7767,1817889139.3999999,True,0,0,False,False,43.75,27.97,-31.213163064833005,-25.306666666666665,-35.97714285714285,False,-23.323295921160693,-3.057119871279157,4.14,-30.7,233118208.42,98.7818,,,2028525193.75,-734.423,2.1229,0,2955662.2003,1817889139.3999999,1.0,1.5,PASS,False,0.2857142857142857,4.14,-30.7,2.125,4.14,ESP-Q,56.5197,2.6393,2.1229,13.652101449275364,87.7931712264151,0.0,0.0,29.07,43.75,0,65.2348224513173,,0.026717557251908396,0,0,5.0,158,-18.50903882998665,False,-31.213163064833005,,-0.022440870945003834,False,False,独立池,4.14,0.0,22.175815894326835,26.505609914260557,0.7,0.0,18.55,Other
