ts_code,name,l2_name,final_score,tier,pct_20d_n,pct_5d_n,pct_60d,drawdown_20d,cat_score,l4_score,esp_score,l4_flag,cninfo_flag,entry_flag
002975.SZ,博杰股份,专用设备,90.44,Tier1,11.80815542,-3.904687364,31.6887141,-13.42839235,89.46162658,100,68,,通过,可直接观察
601799.SH,星宇股份,汽车零部件,89.78,Tier1,9.055817185,3.860010293,-6.759075908,-3.246575342,65.92210767,100,50,,通过,可直接观察
603127.SH,昭衍新药,医疗服务,89.15,Tier1,14.41947566,7.032032032,18.60787576,0,75.83046964,100,82,,通过,可直接观察
601061.SH,中信金属,贸易,88.6,Tier1,2.773497689,-3.052325581,-7.361111111,-10.16835017,50,100,68,,通过,可直接观察
002283.SZ,天润工业,汽车零部件,87.49,Tier1,6.394810009,-7.1197411,25.46448087,-13.29305136,91.63802978,100,50,,通过,可直接观察
000567.SZ,海德股份,多元金融,87.19,Tier1,14.86988848,-3.4375,7.853403141,-12.34042553,69.30126002,100,82,,通过,可直接观察
601918.SH,新集能源,煤炭开采,86.18,Tier1,13.07189542,-2.149321267,16.89189189,-6.989247312,65.92210767,100,32,,通过,可直接观察
601995.SH,中金公司,证券,86.15,Tier1,0.618921309,1.486325803,-1.585471317,-2.317596567,87.17067583,100,50,,通过,可直接观察
002050.SZ,三花智控,白色家电,83.17,Tier1,14.57384515,1.47906262,-1.215407629,-3.028634361,89.2325315,100,32,,通过,可直接观察
603638.SH,艾迪精密,专用设备,81.55,Tier1,14.23423423,-2.946804439,-0.392772977,-5.584512286,71.82130584,100,50,,通过,可直接观察
603950.SH,长源东谷,汽车零部件,79.79,Tier1,11.97635135,-5.096635648,65.10585305,-14.92556468,90.95074456,85,50,,通过,可直接观察
600446.SH,金证股份,计算机应用,79.78,Tier1,14.1322314,7.554517134,-8.421750663,-5.926430518,65.92210767,100,50,,通过,可直接观察
002474.SZ,榕基软件,计算机应用,79.78,Tier1,8.469945355,-3.523693803,-11.2849162,-7.134502924,65.92210767,100,50,,通过,可直接观察
000006.SZ,深振业Ａ,房地产开发,79.78,Tier1,8.169596691,7.613168724,10.92258749,-7.022222222,65.92210767,100,50,,通过,可直接观察
002833.SZ,弘亚数控,专用设备,79.33,Tier1,9.17979359,-6.987505784,8.531317495,-10.74600355,84.76517755,75,32,,通过,资金流背离
