table_id,symbol,end_date,ann_date,row_count,differing_fields,required_signal_treatment
income,600115.SH,20250630,20250830,2,n_income_attr_p,exclude_this_table_symbol_period_ann_date_group
income,600115.SH,20230630,20230831,2,n_income_attr_p,exclude_this_table_symbol_period_ann_date_group
income,600188.SH,20220331,20220430,2,n_income_attr_p,exclude_this_table_symbol_period_ann_date_group
income,600816.SH,20210930,20211030,2,revenue,exclude_this_table_symbol_period_ann_date_group
income,600816.SH,20210331,20210430,2,revenue,exclude_this_table_symbol_period_ann_date_group
income,600816.SH,20200630,20200831,2,revenue,exclude_this_table_symbol_period_ann_date_group
income,600906.SH,20220331,20220429,2,n_income_attr_p,exclude_this_table_symbol_period_ann_date_group
income,603607.SH,20220331,20220428,2,n_income_attr_p|revenue,exclude_this_table_symbol_period_ann_date_group
balancesheet,001286.SZ,20230930,20231027,2,total_hldr_eqy_exc_min_int|total_liab,exclude_this_table_symbol_period_ann_date_group
balancesheet,601696.SH,20240331,20240430,2,total_assets|total_liab,exclude_this_table_symbol_period_ann_date_group
balancesheet,603070.SH,20211231,20220427,2,total_assets|total_hldr_eqy_exc_min_int|total_liab,exclude_this_table_symbol_period_ann_date_group
balancesheet,002770.SZ,20220331,20220430,2,total_assets|total_hldr_eqy_exc_min_int,exclude_this_table_symbol_period_ann_date_group
balancesheet,600260.SH,20220331,20220430,2,total_hldr_eqy_exc_min_int,exclude_this_table_symbol_period_ann_date_group
balancesheet,600277.SH,20240630,20240831,2,total_assets,exclude_this_table_symbol_period_ann_date_group
cashflow,600241.SH,20241231,20250409,2,n_cashflow_act,exclude_this_table_symbol_period_ann_date_group
cashflow,601727.SH,20250630,20250830,2,n_cashflow_act,exclude_this_table_symbol_period_ann_date_group
cashflow,603788.SH,20241231,20250422,2,n_cashflow_act,exclude_this_table_symbol_period_ann_date_group
cashflow,002699.SZ,20240630,20240828,2,n_cashflow_act,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000016.SZ,20240930,20241031,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000016.SZ,20230331,20230429,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000016.SZ,20221231,20230328,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000151.SZ,20230331,20230429,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000151.SZ,20221231,20230429,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000505.SZ,20231231,20240330,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000530.SZ,20250630,20250814,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000530.SZ,20230930,20231027,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000530.SZ,20230331,20230426,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000530.SZ,20220930,20221028,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000530.SZ,20220630,20220825,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000530.SZ,20220331,20220423,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20230331,20230429,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20221231,20230422,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20220930,20221026,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20220630,20220824,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20220331,20220429,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20211231,20220426,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20210930,20211030,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20210630,20210828,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20210331,20210428,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20201231,20210428,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20200930,20201026,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20200630,20200828,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20200331,20200430,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20191231,20200430,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20190930,20191025,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20190630,20190830,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20190331,20190426,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20181231,20190420,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20180930,20181027,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20180630,20180824,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000547.SZ,20180331,20180404,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20230331,20230429,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20221231,20230420,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20220930,20221026,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20220630,20220824,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20220331,20220427,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20211231,20220420,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20210930,20211028,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20210630,20210827,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20210331,20210423,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20201231,20210423,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20200930,20201028,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20200630,20200828,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20200331,20200428,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20191231,20200428,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20190930,20191029,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20190630,20190830,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20190331,20190430,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20181231,20190430,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20180930,20181031,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20180630,20180821,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000595.SZ,20180331,20180428,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000615.SZ,20221231,20230429,2,profit_dedt|roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000615.SZ,20220930,20221029,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000615.SZ,20220630,20220829,2,roe,exclude_this_table_symbol_period_ann_date_group
fina_indicator,000615.SZ,20220331,20220430,2,roe,exclude_this_table_symbol_period_ann_date_group
