as_of,raw_row_count,summary_row_count,date_mismatch_count,main_board_row_count,positive_main_board_circ_mv_count,selected_top500_count,selected_top500_complete,selected_top500_min_circ_mv,selected_top500_max_circ_mv,summary_rederivation_mismatch,raw_top500_outside_prior_audited_universe_count,documented_data_quality_exclusion_count,documented_data_quality_exclusion_sample,outside_prior_audited_universe_count,outside_prior_audited_universe_sample,signal_universe_count_after_exclusion_backfill,signal_universe_complete_after_exclusion_backfill,signal_universe_backfill_count,signal_universe_outside_prior_audited_universe_count,signal_universe_outside_prior_audited_universe_sample,size_q1_count,size_q2_count,size_q3_count,size_q4_count,size_q5_count,minimum_size_quintile_count,top500_symbols_written_to_tracked_report
20180131,3263,3263,0,2588,2588,500,True,1315421.7964,201669934.9792,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20180228,3227,3227,0,2558,2558,500,True,1276796.3374,179831345.7635,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20180330,3249,3249,0,2576,2576,500,True,1296534.72,164193837.4363,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20180427,3272,3272,0,2590,2590,500,True,1266210.015,161767327.5234,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20180531,3302,3302,0,2615,2615,500,True,1264939.0015,152600512.2971,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20180629,3325,3325,0,2629,2629,500,True,1151943.3408,143433697.0707,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20180731,3396,3396,0,2684,2684,500,True,1169193.4676,152330900.0845,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20180831,3440,3440,0,2726,2726,500,True,1105777.0273,146669043.6212,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20180928,3470,3470,0,2750,2750,500,True,1094572.5747,155566246.635,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20181031,3481,3481,0,2762,2762,500,True,998760.0,151791675.6595,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20181130,3538,3538,0,2808,2808,500,True,1066242.3497,143703309.2833,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20181228,3551,3551,0,2815,2815,500,True,1051569.1869,142624860.4331,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20190131,3569,3569,0,2830,2830,500,True,1066581.2602,152600512.2971,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20190228,3571,3571,0,2831,2831,500,True,1296507.2179,155027022.2099,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20190329,3567,3567,0,2825,2825,500,True,1430555.8756,150174002.3842,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20190430,3554,3554,0,2804,2804,500,True,1374642.36,156644695.4852,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20190531,3601,3601,0,2844,2844,500,True,1303320.8592,151252451.2344,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20190628,3614,3614,0,2853,2853,500,True,1328362.6913,158801593.1855,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20190731,3648,3648,0,2858,2858,500,True,1324354.625,152061287.872,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20190830,3662,3662,0,2868,2868,500,True,1307905.3927,145320982.5585,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20190930,3672,3672,0,2869,2869,500,True,1310215.0676,149095553.5341,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20191031,3684,3684,0,2874,2874,500,True,1342350.0347,159340817.6105,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20191129,3715,3715,0,2876,2876,500,True,1323124.3642,156105471.0601,False,1,1,['000043.SZ'],0,[],500,True,1,0,[],100,100,100,100,100,100,False
20191231,3742,3742,0,2886,2886,500,True,1478441.2138,158531980.9729,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20200123,3761,3761,0,2893,2893,500,True,1505804.395,154218185.5723,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20200228,3784,3784,0,2898,2898,500,True,1535365.5545,142894472.6457,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20200331,3790,3790,0,2896,2896,500,True,1412021.882,139563575.58,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20200430,3772,3772,0,2871,2871,500,True,1490516.4932,158996955.546,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20200529,3814,3814,0,2905,2905,500,True,1517130.9738,171671991.348,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20200630,3836,3836,0,2907,2907,500,True,1622422.9963,183766663.7664,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20200731,3895,3895,0,2923,2923,500,True,1866847.8975,210812602.4004,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20200831,3951,3951,0,2942,2942,500,True,1925323.6388,224419736.97,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20200930,4016,4016,0,2973,2973,500,True,1766982.0048,209596602.93,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20201030,4045,4045,0,2986,2986,500,True,1781754.0,209787544.9956,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20201130,4068,4068,0,2994,2994,500,True,1898612.1031,215300997.1398,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20201231,4118,4118,0,3014,3014,500,True,1959116.7813,250988320.44,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20210129,4151,4151,0,3024,3024,500,True,1881310.3192,265834066.0404,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20210226,4178,4178,0,3032,3032,500,True,1953255.051,266663156.5884,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20210331,4216,4216,0,3042,3042,500,True,1941559.6968,252370138.02,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20210430,4240,4240,0,3030,3030,500,True,1944600.2907,252091262.1084,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20210531,4312,4312,0,3075,3075,500,True,2059200.0,278624672.04,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20210630,4359,4359,0,3085,3085,500,True,2087057.2919,258362201.526,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20210730,4407,4407,0,3091,3091,500,True,2108542.0408,210914354.4222,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20210831,4450,4450,0,3106,3106,500,True,2254033.5628,195715617.24,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20210930,4481,4481,0,3105,3105,500,True,2282072.3401,229884197.4,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20211029,4521,4521,0,3120,3120,500,True,2243809.9805,229391767.8624,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20211130,4630,4630,0,3123,3123,500,True,2355715.5574,242542902.6306,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20211231,4669,4669,0,3127,3127,500,True,2407593.5065,257520549.0,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20220128,4705,4705,0,3136,3136,500,True,2124108.7312,237044524.86,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20220228,4724,4724,0,3141,3141,500,True,2255998.5339,224909654.112,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20220331,4756,4756,0,3142,3142,500,True,2055080.2015,215940401.82,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20220429,4767,4767,0,3127,3127,500,True,1858317.2035,229680693.3564,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20220531,4779,4779,0,3126,3126,500,True,2018872.784,226621851.7134,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20220630,4806,4806,0,3125,3125,500,True,2177010.1603,256892450.1,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20220729,4837,4837,0,3134,3134,500,True,2181449.2515,238481615.1432,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20220831,4899,4899,0,3149,3149,500,True,2114818.9238,241692456.72,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20220930,4937,4937,0,3151,3151,500,True,1961626.5757,235223038.05,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20221031,4966,4966,0,3159,3159,500,True,1953548.1689,169586703.0,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20221130,5007,5007,0,3166,3166,500,True,2147895.6,200866028.22,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20221230,5061,5061,0,3169,3169,500,True,2057422.3208,216945360.06,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20230131,5065,5065,0,3169,3169,500,True,2215629.2147,231863965.1328,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20230228,5093,5093,0,3175,3175,500,True,2281621.3392,227841619.7772,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20230331,5127,5127,0,3188,3188,500,True,2264706.0593,228627999.6,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20230428,5131,5131,0,3178,3178,500,True,2278251.6045,221156135.0856,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20230531,5164,5164,0,3184,3184,500,True,2209495.2405,204622059.642,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20230630,5205,5205,0,3179,3179,500,True,2221812.9511,212423047.98,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20230731,5233,5233,0,3178,3178,500,True,2289863.2871,236238045.8724,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20230831,5265,5265,0,3179,3179,500,True,2125115.5479,232019733.66,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20230928,5282,5282,0,3180,3180,500,True,2156655.1969,225933455.319,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20231031,5297,5297,0,3186,3186,500,True,2063624.6055,211616568.9924,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20231130,5312,5312,0,3190,3190,500,True,2070777.0873,225047835.87,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20231229,5329,5329,0,3193,3193,500,True,2040722.361,216819740.28,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20240131,5344,5344,0,3199,3199,500,True,1819377.1795,201608441.1198,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20240229,5347,5347,0,3196,3196,500,True,2029709.0307,212925527.1,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20240329,5356,5356,0,3198,3198,500,True,2008391.0619,213917923.362,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20240430,5301,5301,0,3146,3146,500,True,2044597.513,214181724.9,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20240531,5341,5341,0,3182,3182,500,True,2055456.4275,207077926.341,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20240628,5338,5338,0,3174,3174,500,True,1897319.4724,184333208.9742,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20240731,5334,5334,0,3167,3167,500,True,1877307.8806,178540880.9184,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20240830,5339,5339,0,3165,3165,500,True,1776401.36,181293210.2982,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20240930,5345,5345,0,3165,3165,500,True,2172911.5136,219583375.44,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20241031,5349,5349,0,3162,3162,500,True,2218125.0,191920643.6862,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20241129,5364,5364,0,3167,3167,500,True,2220630.4905,191663123.1372,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20241231,5370,5370,0,3164,3164,500,True,2181375.0,191444544.72,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20250127,5382,5382,0,3174,3174,500,True,2128725.3121,183875528.9516,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20250228,5383,5383,0,3169,3169,500,True,2188865.3271,188528909.6262,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20250331,5393,5393,0,3170,3170,500,True,2235461.7648,196092476.58,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20250430,5360,5360,0,3147,3147,500,True,2129903.4398,194333799.66,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20250530,5384,5384,0,3164,3164,500,True,2156800.216,191193305.16,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20250630,5405,5405,0,3175,3175,500,True,2226936.6153,204635669.3171,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20250731,5409,5409,0,3176,3176,500,True,2327230.4979,203826832.6795,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20250829,5414,5414,0,3175,3175,500,True,2542631.9431,224109435.9655,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20250930,5423,5423,0,3174,3174,500,True,2625194.7491,212935888.5883,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20251031,5432,5432,0,3179,3179,500,True,2559274.2636,254118391.7785,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20251128,5433,5433,0,3176,3176,500,True,2542355.1,256672345.4647,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
20251231,5458,5458,0,3182,3182,500,True,2641844.3646,245179553.8767,False,0,0,[],0,[],500,True,0,0,[],100,100,100,100,100,100,False
