trade_date,raw_signal_events,selected_signal_events,available_count,entry_unbuyable_count,missing_future_close_count,pending_count,mean_t1_5d_pct,mean_t1_net_5d_pct,mean_csi1000_5d_pct,mean_net_excess_csi1000_5d_pct,mean_csi300_5d_pct,mean_net_excess_csi300_5d_pct,cumulative_net_excess_csi1000_5d_pct,drawdown_from_peak_csi1000_5d_pct
20240131,1,1,1,0,0,0,-14.0229885057,-14.1829885057,0.9299464518,-15.1129349575,4.4148213741,-18.5978098798,-15.1129349575,0.0
20240229,10,10,10,0,0,0,1.2713771674,1.1113771674,-0.9609055022,2.0722826696,0.4170854956,0.6942916718,-13.0406522879,0.0
20240329,4,4,4,0,0,0,-3.7226072428,-3.8826072428,0.1340947188,-4.0167019616,-0.5094744412,-3.3731328016,-17.0573542495,4.0167019616
20240430,1,1,1,0,0,0,8.6787564767,8.5187564767,0.2753770334,8.2433794433,0.3346589406,8.1840975361,-8.8139748062,0.0
20240531,0,0,0,0,0,0,,,,,,,,
20240628,1,1,1,0,0,0,-6.0,-6.16,-1.7113961968,-4.4486038032,-0.7866115238,-5.3733884762,-13.2625786094,4.4486038032
20240731,6,6,5,1,0,1,-9.5639405547,-9.7239405547,-3.0930482923,-6.6308922624,-2.9522676643,-6.7716728904,-19.8934708718,11.0794960656
20240830,3,3,3,0,0,0,6.3941312311,6.2341312311,-2.5707612662,8.8048924972,-2.3037491997,8.5378804308,-11.0885783746,2.2746035684
20240930,8,8,4,4,0,4,-15.914547893,-16.074547893,-12.7597060981,-3.314841795,-10.9884206192,-5.0861272738,-14.4034201696,5.5894453634
20241031,31,20,20,0,0,0,-6.8319404711,-6.9919404711,4.9686615171,-11.9606019882,6.7801713961,-13.7721118672,-26.3640221578,17.5500473516
20241129,9,9,9,0,0,0,-5.7911545655,-5.9511545655,2.598556399,-8.5497109645,1.6225683031,-7.5737228686,-34.9137331223,26.0997583161
20241231,2,2,2,0,0,0,5.7609183439,5.6009183439,-4.8229336652,10.423852009,-3.6268283697,9.2277467136,-24.4898811133,15.6759063071
20250127,5,5,5,0,0,0,4.0188792607,3.8588792607,4.9090834953,-1.0502042346,0.999698338,2.8591809227,-25.5400853479,16.7261105417
20250228,5,5,5,0,0,0,8.6712760074,8.5112760074,3.4448048665,5.0664711409,1.136450065,7.3748259424,-20.473614207,11.6596394008
20250331,3,3,3,0,0,0,-17.1303725128,-17.2903725128,-11.407311041,-5.8830614718,-6.2171619589,-11.0732105539,-26.3566756788,17.5427008726
20250430,4,4,4,0,0,0,12.355421498,12.195421498,2.9053412643,9.2900802337,2.5362248657,9.6591966324,-17.0665954451,8.2526206389
20250530,9,9,9,0,0,0,-0.3633495096,-0.5233495096,3.4909779104,-4.01432742,1.3509341852,-1.8742836948,-21.0809228651,12.2669480589
20250630,2,2,2,0,0,0,-8.779500295,-8.939500295,-0.4863260253,-8.4531742697,0.7435844915,-9.6830847865,-29.5340971348,20.7201223286
20250731,5,5,5,0,0,0,2.6347436222,2.4747436222,2.9480732515,-0.4733296293,1.0992977906,1.3754458317,-30.0074267641,21.1934519579
20250829,6,6,6,0,0,0,-6.0860715266,-6.2460715266,-3.0680038902,-3.1780676364,-1.2520548759,-4.9940166508,-33.1854944005,24.3715195943
20250930,2,2,2,0,0,0,-3.8765171748,-4.0365171748,-1.8345024554,-2.2020147194,-1.1974269265,-2.8390902483,-35.3875091199,26.5735343137
20251031,3,3,3,0,0,0,15.9520499626,15.7920499626,0.459600115,15.3324498476,0.9071496321,14.8849003306,-20.0550592723,11.2410844661
20251128,7,7,6,1,0,1,0.4955311319,0.3355311319,-0.1905889354,0.5261200673,0.9990576067,-0.6635264748,-19.528939205,10.7149643988
20251231,7,7,6,0,1,1,3.1072365626,2.9472365626,6.4093618233,-3.4621252606,2.0873898665,0.8598466961,-22.9910644656,14.1770896594
