trade_date,horizon_days,benchmark,sample_count,mean_gross_return_pct,mean_net_return_pct,mean_benchmark_return_pct,mean_gross_excess_pct,mean_net_excess_pct,mean_uncorrected_close_to_close_benchmark_pct,mean_uncorrected_gross_excess_pct,mean_anchor_only_delta_pct
20240131,5,CSI1000,15,-1.8712003383,-2.0312003383,0.9299464518,-2.80114679,-2.96114679,0.9978372758,-2.869037614,0.067890824
20240229,5,CSI1000,15,1.4935590066,1.3335590066,-0.9609055022,2.4544645087,2.2944645087,-1.8264329289,3.3199919354,-0.8655274267
20240329,5,CSI1000,15,0.3228929939,0.1628929939,0.1340947188,0.1887982751,0.0287982751,-1.6215847594,1.9444777533,-1.7556794783
20240430,5,CSI1000,3,0.4691977317,0.3091977317,0.2753770334,0.1938206983,0.0338206983,-0.5816037321,1.0508014638,-0.8569807655
20240531,5,CSI1000,15,-1.7041092372,-1.8641092372,-3.682845496,1.9787362588,1.8187362588,-2.4795881394,0.7754789023,1.2032573565
20240628,5,CSI1000,15,-0.8601248648,-1.0201248648,-1.7113961968,0.851271332,0.691271332,-2.6203790495,1.7602541846,-0.9089828526
20240731,5,CSI1000,15,-5.1069177055,-5.2669177055,-3.0930482923,-2.0138694132,-2.1738694132,-2.7648833433,-2.3420343622,0.328164949
20240830,5,CSI1000,15,-2.8180188473,-2.9780188473,-2.5707612662,-0.2472575811,-0.4072575811,-0.5358261954,-2.2821926519,2.0349350708
20241031,5,CSI1000,8,12.9873645346,12.8273645346,4.9686615171,8.0187030175,7.8587030175,7.9876404159,4.9997241187,3.0189788988
20241129,5,CSI1000,12,1.830345674,1.670345674,2.598556399,-0.768210725,-0.928210725,0.5704092131,1.2599364609,-2.0281471859
20241231,5,CSI1000,3,0.3959459872,0.2359459872,-4.8229336652,5.2188796524,5.0588796524,-2.3340973375,2.7300433247,2.4888363277
20250127,5,CSI1000,15,7.0157116883,6.8557116883,4.9090834953,2.1066281931,1.9466281931,5.2493518335,1.7663598548,0.3402683383
20250228,5,CSI1000,15,4.0034222182,3.8434222182,3.4448048665,0.5586173517,0.3986173517,3.7313821692,0.272040049,0.2865773026
20250331,5,CSI1000,15,-9.5871704605,-9.7471704605,-11.407311041,1.8201405805,1.6601405805,-11.6537548991,2.0665844386,-0.2464438581
20250430,5,CSI1000,15,1.9007706929,1.7407706929,2.9053412643,-1.0045705714,-1.1645705714,1.0575016188,0.8432690741,-1.8478396455
20250530,5,CSI1000,15,5.7349156179,5.5749156179,3.4909779104,2.2439377075,2.0839377075,2.4534760646,3.2814395533,-1.0375018458
20250630,5,CSI1000,15,1.3983080303,1.2383080303,-0.4863260253,1.8846340556,1.7246340556,-0.7315751174,2.1298831477,-0.2452490921
20250731,5,CSI1000,15,2.8608229632,2.7008229632,2.9480732515,-0.0872502883,-0.2472502883,2.8735252918,-0.0127023285,-0.0745479598
20250829,5,CSI1000,15,0.2774168558,0.1174168558,-3.0680038902,3.345420746,3.185420746,-3.405895868,3.6833127237,-0.3378919777
20250930,5,CSI1000,15,-2.6287163817,-2.7887163817,-1.8345024554,-0.7942139263,-0.9542139263,-2.1522250835,-0.4764912982,-0.3177226281
