rank,ts_code,event_count,sum_5d_csi1000_excess_pct,positive_contribution_share
1,001380.SZ,1,28.0038709546,0.03770941
2,600673.SH,1,25.040089804,0.0337184461
3,002510.SZ,1,23.1140163072,0.0311248369
4,600490.SH,1,22.9245024554,0.0308696417
5,002779.SZ,1,20.6641510429,0.0278259011
6,002131.SZ,1,20.5309165047,0.0276464903
7,600881.SH,2,18.7834014761,0.0252933242
8,601138.SH,2,18.0240564305,0.0242708065
9,002961.SZ,1,18.0031887894,0.0242427066
10,600941.SH,2,17.5501841631,0.0236327003
11,002663.SZ,1,17.241443601,0.0232169569
12,000423.SZ,2,16.9071111932,0.0227667521
13,000915.SZ,1,16.3954069507,0.0220777022
14,001286.SZ,2,16.3847981754,0.0220634166
15,603662.SH,2,16.2958418463,0.0219436299
16,603278.SH,1,15.2090161571,0.0204801339
17,002463.SZ,1,15.1418442756,0.0203896816
18,600489.SH,1,14.5773987584,0.0196296115
19,603270.SH,1,14.1868618001,0.0191037228
20,603728.SH,1,12.9958373139,0.0174999149
21,601991.SH,3,12.5235997737,0.0168640099
22,002023.SZ,1,12.2322210706,0.0164716457
23,002562.SZ,1,11.9586702497,0.016103288
24,600219.SH,1,11.7706308641,0.0158500782
25,000807.SZ,2,10.5647097816,0.0142262108
26,002225.SZ,1,10.4492491875,0.0140707341
27,000993.SZ,1,10.2581735257,0.0138134357
28,600961.SH,2,10.0572135152,0.0135428273
29,000338.SZ,2,10.032523784,0.0135095806
30,600999.SH,1,10.0322938308,0.013509271
31,601766.SH,2,9.9155116225,0.0133520146
32,002085.SZ,1,9.3954904414,0.0126517652
33,002683.SZ,1,9.2423575912,0.0124455598
34,605118.SH,1,9.2332086164,0.01243324
35,600360.SH,1,8.2043438144,0.0110477928
36,000700.SZ,1,8.1381002518,0.0109585907
37,600353.SH,1,8.0858105905,0.0108881785
38,002595.SZ,2,7.725049202,0.010402385
39,600886.SH,1,7.3646534056,0.0099170838
40,601168.SH,1,6.9908093483,0.0094136734
41,600893.SH,2,6.6057947568,0.0088952211
42,000501.SZ,1,6.2882855804,0.00846767
43,002565.SZ,2,6.180016231,0.0083218769
44,600062.SH,1,6.0982915912,0.0082118282
45,603259.SH,1,5.9790211647,0.0080512212
46,600211.SH,1,5.846841435,0.0078732309
47,603508.SH,1,5.6929593884,0.0076660166
48,600875.SH,1,5.2810872542,0.0071113984
49,002772.SZ,1,5.2352514739,0.007049677
50,603368.SH,1,5.0829274794,0.0068445608
51,002364.SZ,1,4.6991904398,0.0063278287
52,000521.SZ,1,4.6971631916,0.0063250989
53,601336.SH,1,4.2126468608,0.0056726596
54,002037.SZ,1,4.0061649467,0.0053946155
55,000963.SZ,2,3.4545618262,0.0046518386
56,600988.SH,1,3.4301096193,0.0046189118
57,601717.SH,1,3.3552413575,0.0045180958
58,002891.SZ,1,3.3306443743,0.004484974
59,002765.SZ,1,3.3239564229,0.0044759682
60,000737.SZ,1,3.246014973,0.0043710139
61,603345.SH,1,3.2375781743,0.0043596531
62,603049.SH,1,3.2284209137,0.0043473221
63,600868.SH,1,3.1066045295,0.0041832868
64,600372.SH,1,3.0896653636,0.0041604769
65,002823.SZ,1,3.0860454333,0.0041556024
66,601058.SH,1,3.0342998476,0.0040859229
67,600933.SH,1,2.955999975,0.003980486
68,600970.SH,1,2.9430507985,0.0039630489
69,000534.SZ,1,2.742316927,0.003692745
70,000519.SZ,1,2.705562165,0.0036432518
71,600027.SH,2,2.6373465591,0.0035513941
72,002714.SZ,1,2.5570874787,0.003443319
73,603297.SH,1,2.4155685151,0.0032527526
74,603221.SH,1,2.4154279664,0.0032525633
75,000960.SZ,1,2.2871103391,0.0030797736
76,000683.SZ,1,2.1254088134,0.0028620298
77,601155.SH,1,2.0807119902,0.002801842
78,601958.SH,1,2.0476225405,0.0027572844
79,000751.SZ,1,2.0058975774,0.0027010985
80,002601.SZ,1,1.9742388355,0.0026584675
81,000543.SZ,1,1.9678100431,0.0026498107
82,000876.SZ,1,1.9281275034,0.002596375
83,601728.SH,1,1.8925096886,0.0025484128
84,002864.SZ,1,1.6317534187,0.002197284
85,601601.SH,2,1.5326911314,0.0020638889
86,000066.SZ,1,1.5220619125,0.0020495758
87,603993.SH,2,1.4689598648,0.0019780697
88,000600.SZ,1,1.3637713521,0.0018364252
89,000969.SZ,1,1.2860407213,0.0017317548
90,002030.SZ,1,1.2183462589,0.0016405989
91,603166.SH,1,1.174194541,0.0015811451
92,600765.SH,2,1.1060269365,0.0014893521
93,600161.SH,1,1.0804506282,0.0014549116
94,600011.SH,2,1.0239466361,0.0013788245
95,600803.SH,4,0.8850415117,0.0011917779
96,601390.SH,1,0.8393139984,0.0011302022
97,000538.SZ,1,0.8381433198,0.0011286258
98,000589.SZ,1,0.7878645568,0.0010609215
99,002015.SZ,1,0.7853623808,0.0010575521
100,600785.SH,1,0.7439254452,0.001001754
101,000999.SZ,1,0.6061174285,0.0008161847
102,600436.SH,1,0.6059454886,0.0008159532
103,002551.SZ,1,0.5660835155,0.0007622759
104,002213.SZ,1,0.5623167688,0.0007572037
105,000883.SZ,1,0.5497267477,0.0007402502
106,600841.SH,1,0.5393431619,0.0007262679
107,000612.SZ,1,0.5102841944,0.0006871377
108,601319.SH,1,0.4942119641,0.0006654952
109,600023.SH,1,0.4194875105,0.0005648729
110,002532.SZ,4,0.4138932189,0.0005573397
111,600844.SH,1,0.3263260253,0.0004394236
112,601799.SH,1,0.3230024529,0.0004349482
113,000586.SZ,1,0.2387522759,0.0003214987
114,600862.SH,2,0.2289231879,0.000308263
115,603179.SH,1,0.1192010236,0.0001605135
116,601608.SH,1,0.1094964276,0.0001474455
117,002448.SZ,2,0.0627413482,8.44861e-05
118,601881.SH,1,-0.0233243243,
119,600694.SH,1,-0.0572795057,
120,002126.SZ,1,-0.0949511608,
121,002725.SZ,1,-0.1005544545,
122,601668.SH,1,-0.1095542949,
123,002681.SZ,1,-0.1480147431,
124,000063.SZ,1,-0.1647282222,
125,601800.SH,1,-0.3544333996,
126,002639.SZ,1,-0.3875661619,
127,002148.SZ,1,-0.4074592203,
128,002372.SZ,1,-0.4713591289,
129,601600.SH,2,-0.4844610801,
130,601555.SH,2,-0.5411457224,
131,601236.SH,1,-0.5607430526,
132,000895.SZ,1,-0.6363247363,
133,002626.SZ,1,-0.6633792633,
134,000532.SZ,2,-0.7156489418,
135,003031.SZ,1,-0.7433539949,
136,002001.SZ,1,-0.8134847052,
137,603966.SH,1,-0.8638654474,
