ts_code,symbol,name,list_date,market,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,entry_flag,cninfo_flag,run_date
002545.SZ,002545,东方铁塔,20110211,主板,609352595.9999999,12.615101289134456,高低压设备,未知,801734.SI,630000,24.46,25.2268,21.7006,2.9787,1.4421,3042975.855,2764380.4298,667812344.0,True,0,0,False,False,26.75,20.75,3.2939189189189255,-6.712433257055672,-8.560747663551393,False,12.615101289134456,1.410939133031408,95.87,111.14,399547259.66,99.4234,,,2856591848.01,101.7911,4.0239,0,3042975.855,667812344.0,1.0,1.5,PASS,False,0.5833333333333334,95.87,111.14,10.365,95.87,,25.2268,2.9787,4.0239,0.2631354959841452,165.51156666666668,10.0,0.0,24.46,26.75,False,0,88.65979381443299,,0.8,1,1,100.0,7,15.230432560700525,True,3.2939189189189255,,-0.032714954024359595,False,False,高低压设备,95.87,0.798598973160413,50.0,86.5979381443299,1.0,0.0,96.6,Tier1,可直接观察,回测跳过,20260515
600366.SH,600366,宁波韵升,20001030,主板,366259184.4,7.056936647955081,其他电子,未知,801082.SI,270000,13.35,44.3503,35.7736,2.3089,3.0767,1467219.8031,1467219.8031,455686054.0,True,0,0,False,False,13.94,12.44,-4.025880661394687,-4.025880661394687,-4.232424677187952,False,7.056936647955081,1.410939133031408,703.22,185.27,99336176.17,85.2431,,,717995468.18,43.8,1.8538,0,1467219.8031,455686054.0,1.0,1.5,PASS,False,0.7833333333333333,703.22,185.27,15.427800000000001,703.22,,44.3503,2.3089,1.8538,0.06306746110747703,114.30799999999999,0.0,0.0,13.35,13.94,False,0,79.95418098510882,,0.7333333333333333,1,1,100.0,5,2.821814340543627,False,-4.025880661394687,,-0.006050042567684484,False,False,其他电子,703.22,2.7682251771253195,82.0,90.38625429553265,1.0,0.0,90.39,Tier1,可直接观察,回测跳过,20260515
601061.SH,601061,中信金属,20230410,主板,323765165.95000005,12.510220768601798,贸易,未知,801202.SI,450000,13.76,25.0699,19.2911,2.7828,0.4216,6742400.0,6742400.0,276479170.6,True,1,0,False,False,14.85,12.2,-4.576976421636614,-3.1667839549613053,-7.3400673400673355,False,12.510220768601798,1.410939133031408,146.05,41.0,1444764519.6,104.9578,,,6262724913.96,210.2614,5.7998,0,6742400.0,276479170.6,1.0,1.5,PASS,False,0.43333333333333335,146.05,41.0,2.375,146.05,,25.0699,2.7828,5.7998,0.17165285861006505,193.67438571428573,10.0,0.0,13.76,14.85,False,0,50.0,COV-LOW,0.75,1,1,100.0,3,11.852433077860491,True,-4.576976421636614,,-0.01998070813213827,False,False,贸易,146.05,1.1869018359177583,68.0,78.6,1.0,0.0,88.6,Tier1,可直接观察,回测跳过,20260515
600236.SH,600236,桂冠电力,20000323,主板,369857400.1,10.123966942148765,电力,未知,801161.SI,410000,10.66,25.6209,23.3705,4.3961,0.5499,8402614.7369,8402614.7369,708646804.8000001,True,1,1,False,False,12.65,9.44,-8.340498710232158,21.82857142857142,-15.731225296442686,False,10.123966942148765,1.410939133031408,58.97,35.49,856120082.32,99.6457,,,7765385678.15,159.0556,4.0514,0,8402614.7369,708646804.8000001,1.0,1.5,PASS,False,0.25,58.97,35.49,0.02,58.97,,25.6209,4.3961,4.0514,0.43447346108190604,66.44196666666667,0.0,0.0,10.66,12.65,False,0,88.65979381443299,,0.75,1,1,100.0,19,5.22585754561844,True,-8.340498710232158,,0.009263514892426385,False,False,电力,58.97,0.5665529661803339,50.0,86.5979381443299,1.0,0.0,86.6,Tier1,可直接观察,回测跳过,20260515
002831.SZ,002831,裕同科技,20161216,主板,485306365.04999995,14.116675839295523,包装印刷,未知,801141.SI,360000,41.47,23.9731,23.9027,3.0949,1.6189,3817369.4845,2119047.3636,584129554.2,True,0,0,False,False,44.88,35.92,0.8511673151750943,36.279986855077226,-7.598039215686281,False,14.116675839295523,1.410939133031408,1.46,0.75,249916858.64,101.6817,,,3519413416.7,214.092,2.01,0,3817369.4845,584129554.2,1.0,1.5,PASS,False,0.9333333333333333,1.46,0.75,1.28,0.17999999999999994,,23.9731,3.0949,2.01,16.419931506849316,92.14852727272726,0.0,0.0,41.47,44.88,False,0,77.20504009163804,,0.7058823529411765,1,1,100.0,6,11.69909342171309,True,0.8511673151750943,,3.911803468940378e-05,False,False,包装印刷,0.17999999999999994,0.026064911960248814,50.0,83.16151202749141,1.0,0.0,83.16,Tier1,可直接观察,回测跳过,20260515
600251.SH,600251,冠农股份,20030609,主板,229292430.70000005,5.6880733944953965,农产品加工,未知,801012.SI,110000,11.52,25.6884,19.6901,2.2155,1.6847,895096.6076,895096.6076,168390685.60000002,False,0,0,False,False,13.21,10.85,-6.720647773279353,10.769230769230752,-12.79333838001515,False,5.6880733944953965,1.410939133031408,58.19,56.8,283857007.36,97.4231,,,1226005766.13,34.6276,7.4601,0,895096.6076,168390685.60000002,1.0,1.5,PASS,False,0.3,58.19,56.8,-19.915,98.01999999999998,,25.6884,2.2155,7.4601,0.4414572950678811,184.64708571428568,10.0,0.0,11.52,13.21,True,0,77.09049255441009,,0.75,1,1,75.0,3,5.582214023185649,True,-6.720647773279353,,-0.015363441178982251,False,False,农产品加工,98.01999999999998,0.9769480477726555,50.0,70.62714776632302,1.0,0.0,80.63,Tier1,可直接观察,回测跳过,20260515
601699.SH,601699,潞安环能,20060922,主板,506257380.29999995,13.313388182498143,煤炭开采,未知,801021.SI,210000,15.15,40.64,38.5054,0.9777,1.5197,4531984.938,4531984.938,492339812.00000006,True,0,0,False,False,16.46,12.94,-2.759948652118094,14.253393665158365,-7.958687727825032,False,13.313388182498143,1.410939133031408,4.29,-63.68,700971247.51,97.4592,,,4056333383.0,401.6575,1.5692,0,4531984.938,492339812.00000006,1.0,1.5,PASS,False,0.13333333333333333,4.29,-63.68,-2.52,2.145,,40.64,0.9777,1.5692,9.473193473193474,31.90904375,0.0,0.0,15.15,16.46,False,0,73.25315005727376,,0.85,1,1,100.0,7,11.959422998745728,True,-2.759948652118094,,-0.005516494796551183,False,False,煤炭开采,2.145,-0.06124511783511298,32.0,78.37594501718212,1.0,0.0,78.38,Tier1,可直接观察,回测跳过,20260515
603650.SH,603650,彤程新材,20180627,主板,866260037.3000002,9.885496183206111,橡胶,未知,801037.SI,220000,57.58,63.0594,60.6703,8.2103,3.8442,3547405.7413,3538137.7681,1152535068.2,True,0,0,False,False,59.5,52.01,0.4010462074978127,-1.1502145922746787,-3.226890756302525,False,9.885496183206111,1.410939133031408,10.67,29.58,176957352.01,97.0685,,,1508128282.0,11.545,4.2859,0,3547405.7413,1152535068.2,1.0,1.5,PASS,False,0.31666666666666665,10.67,29.58,-28.13,5.335,,63.0594,8.2103,4.2859,5.909971883786317,36.49555,0.0,0.0,57.58,59.5,False,0,72.73768613974799,,0.8,1,1,100.0,2,2.2321763656693703,False,0.4010462074978127,,-0.0067670217899137635,False,False,橡胶,5.335,-0.01081889248552464,32.0,78.22130584192439,1.0,0.0,78.22,Tier1,可直接观察,回测跳过,20260515
000301.SZ,000301,东方盛虹,20000529,主板,379607681.7,13.61256544502616,电力,未知,801161.SI,410000,13.02,643.5932,70.2674,2.4782,0.4691,8607822.4118,8603780.4231,345516917.2,False,0,0,False,False,13.48,11.3,0.6182380216383399,0.15384615384614886,-3.4124629080118707,False,13.61256544502616,1.410939133031408,349.52,79.54,1316436824.28,91.9024,,,973637574.41,190.8329,4.1074,0,8607822.4118,345516917.2,1.0,1.5,PASS,False,0.25,349.52,79.54,0.02,349.52,,643.5932,2.4782,4.1074,1.8413630121309226,66.44196666666667,0.0,10.0,13.02,13.48,False,0,73.25315005727376,,0.85,1,1,85.0,19,8.714456048495833,True,0.6182380216383399,,-0.027259212608817026,False,False,电力,349.52,3.7568887793452106,97.27066633803562,83.93007828478926,1.0,10.0,73.93,Tier1,可直接观察,回测跳过,20260515
000889.SZ,000889,中嘉博创,19971218,主板,1018665842.6999999,8.64978902953586,通信运营,未知,801223.SI,730000,5.15,,,69.428,15.8886,482189.9247,447970.2502,867407839.0,False,6,3,False,True,5.89,4.03,-2.091254752851701,35.52631578947369,-12.56366723259761,False,8.64978902953586,1.410939133031408,11.02,30.58,-4463859.8,,,,-73648039.12,,-6.1375,0,482189.9247,867407839.0,1.0,1.5,PASS,False,0.016666666666666666,11.02,30.58,-21.39,5.51,,,69.428,-6.1375,,16.301166666666663,0.0,0.0,5.15,5.89,False,0,73.25315005727376,,1.0,1,1,80.0,2,5.392136515739743,True,-2.091254752851701,突破型,0.005324381265961137,False,False,通信运营,5.51,0.45044703876785547,50.0,71.97594501718213,1.0,0.0,71.98,Tier1,可直接观察,回测跳过,20260515
002249.SZ,002249,大洋电机,20080619,主板,428852899.00000006,5.876068376068377,电机,未知,801731.SI,630000,9.91,22.5688,22.27,2.4082,6.1982,2443561.9306,1845178.0676,585600052.4000001,True,0,0,False,False,10.01,8.82,2.270381836945301,-9.082568807339452,-0.9990009990009985,False,5.876068376068377,1.410939133031408,5.3,13.19,295280159.39,98.764,,,2492848894.62,32.5581,2.9878,0,2443561.9306,585600052.4000001,1.0,1.5,PASS,False,0.9166666666666666,5.3,13.19,-5.324999999999999,2.65,,22.5688,2.4082,2.9878,4.258264150943396,161.5298125,10.0,0.0,9.91,10.01,False,0,99.0836197021764,,0.2222222222222222,0,1,55.0,3,-2.4455113136354187,False,2.270381836945301,,-0.003534989391906831,False,False,电机,2.65,-0.6046331636525992,22.0,61.62508591065292,1.0,0.0,71.63,Tier1,可直接观察,回测跳过,20260515
