ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,entry_flag,cninfo_flag,run_date
600415.SH,600415,小商品城,20020509,,主板,L,1873953457.6500003,9.635627530364378,一般零售,商业贸易,801203.SI,450000,13.35,17.4152,16.673,3.067,1.7565,7320551.5667,7320551.5667,2232160703.6,True,0,0,False,False,14.36,12.19,-1.5272727272727327,-9.853528628495345,-5.710306406685239,False,9.635627530364378,-3.057119871279157,18.87,30.5,945229245.65,95.435,,,9898037805.08,4.9854,4.2312,0,7320551.5667,2232160703.6,1.0,1.5,PASS,False,0.5,18.87,30.5,-2.72,24.31,,17.4152,3.067,4.2312,0.9229040805511393,294.39719,10.0,0.0,13.35,14.36,0,84.5360824742268,,0.8235294117647058,1,1,100.0,6,19.551593916918996,True,-1.5272727272727327,,-0.004471441739406806,False,False,一般零售,24.31,0.41044221868649633,50.0,85.36082474226804,1.0,0.0,95.36,Tier1,可直接观察,通过,20260522
601799.SH,601799,星宇股份,20110201,,主板,L,621111759.1500001,9.05581718520805,汽车零部件,汽车,801093.SI,280000,143.03,25.1591,24.6575,3.6941,2.5412,4086072.73,4086072.73,976066053.1999999,True,0,0,False,False,146.0,123.0,3.8600102933607827,-7.0413266649118285,-3.246575342465763,False,9.05581718520805,-3.057119871279157,10.94,16.29,347005659.22,97.7049,,,3731028991.99,110.509,3.0926,0,4086072.73,976066053.1999999,1.0,1.5,PASS,False,0.47619047619047616,10.94,16.29,-7.74,26.42,,25.1591,3.6941,3.0926,2.2997349177330895,70.26558985507246,10.0,0.0,143.03,146.0,0,68.49942726231386,,0.7702702702702703,1,1,100.0,23,7.188473422469644,True,3.8600102933607827,,-0.0026172790574615344,False,False,汽车零部件,26.42,0.1458177952489853,50.0,80.54982817869416,1.0,0.0,90.55,Tier1,可直接观察,通过,20260522
601995.SH,601995,中金公司,20201102,,主板,L,631750653.8,0.6189213085764811,证券,非银金融,801193.SI,490000,33.68,16.606,14.3548,1.5836,0.6687,16258201.1314,9846490.9379,696005723.3999999,True,0,0,False,False,34.95,33.37,1.4863258026159398,-1.4718614718614687,-2.3175965665236165,False,0.6189213085764811,-3.057119871279157,76.14,70.73,3537751927.0,98.8904,,,23923517600.0,580.8959,2.8111,0,16258201.1314,696005723.3999999,1.0,1.5,PASS,False,0.07142857142857142,76.14,70.73,30.57,76.14,,16.606,1.5836,2.8111,0.2180982400840557,30.16254222222222,0.0,0.0,33.68,34.95,0,88.77434135166094,,0.8,1,1,100.0,14,2.9359944793081794,False,1.4863258026159398,,-0.014159680237684432,False,False,证券,76.14,0.9479736531417101,50.0,86.63230240549828,1.0,0.0,86.63,Tier1,可直接观察,通过,20260522
603127.SH,603127,昭衍新药,20170825,,主板,L,1469221268.9000003,14.419475655430713,医疗服务,医药生物,801156.SI,370000,41.35,104.0338,62.5872,3.6212,9.0595,3098554.8897,2606509.7129,1865155227.0000005,True,1,1,False,False,42.77,36.0,7.032032032032043,23.008340523439742,0.0,False,14.419475655430713,-3.057119871279157,747.11,1221.3,217391315.27,91.2042,,,580963713.39,49.8638,2.8238,0,3098554.8897,1865155227.0000005,1.0,1.5,PASS,False,0.30952380952380953,747.11,1221.3,12.54,747.11,,104.0338,3.6212,2.8238,0.13924830346267617,76.35799999999999,0.0,0.0,41.35,42.77,0,65.2348224513173,,1.0,1,1,100.0,3,19.591889448534147,True,7.032032032032043,,0.013585241489798635,False,False,医疗服务,747.11,2.49015327713486,82.0,85.9704467353952,1.0,0.0,85.97,Tier1,可直接观察,通过,20260522
000567.SZ,000567,海德股份,19940525,,主板,L,269337862.0,14.869888475836435,多元金融,非银金融,801191.SI,490000,6.11,31.0204,16.8749,1.9826,1.3374,1194255.8067,1190557.838,156358107.39999998,True,2,0,False,False,7.05,5.26,-3.4375000000000044,8.231173380035028,-12.3404255319149,False,14.869888475836435,-3.057119871279157,323.04,30.94,418335557.25,99.6595,,,1082852992.66,5.7711,7.2194,0,1194255.8067,156358107.39999998,1.0,1.5,PASS,False,0.19047619047619047,323.04,30.94,15.68,323.04,,31.0204,1.9826,7.2194,0.09602649826646854,47.574976923076925,0.0,0.0,6.11,7.05,0,67.81214203894616,,0.9285714285714286,1,1,100.0,5,22.623462225462276,True,-3.4375000000000044,,-0.016894241549093622,False,False,多元金融,323.04,1.9116577056362287,68.0,83.94364261168386,1.0,0.0,83.94,Tier1,可直接观察,通过,20260522
002111.SZ,002111,威海广泰,20070126,,主板,L,157632128.69999996,8.917835671342678,航空装备,国防军工,801742.SI,650000,11.05,45.5608,35.7671,1.9034,1.6902,587871.4821,540069.7843,109187447.19999997,False,1,0,False,False,11.69,9.39,-4.565408252853387,-4.899387576552938,-7.014542343883667,False,8.917835671342678,-3.057119871279157,97.57,54.33,76572623.83,99.1224,,,377958438.27,284.5357,2.4584,0,587871.4821,109187447.19999997,1.0,1.5,PASS,False,0.5238095238095238,97.57,54.33,-13.16,123.88999999999999,,45.5608,1.9034,2.4584,0.46695500666188383,161.41275,10.0,0.0,11.05,11.69,0,86.71248568155785,,0.875,1,1,75.0,5,16.011340033804743,True,-4.565408252853387,,-0.03772609919783459,False,False,航空装备,123.88999999999999,0.11565196795516766,50.0,73.51374570446735,1.0,0.0,83.51,Tier1,可直接观察,通过,20260522
000006.SZ,000006,深振业Ａ,19920427,,主板,L,461591160.29999995,8.169596690796288,房地产开发,房地产,801181.SI,430000,10.88,,,2.7357,3.5696,1468794.61,1468783.5124,604726505.8,True,2,2,False,False,11.25,9.09,7.61316872427984,12.837108953613829,-7.022222222222219,False,8.169596690796288,-3.057119871279157,124.77,96.6,6931220.37,92.0793,,,-134432268.94,1215.9487,0.1403,0,1468794.61,604726505.8,1.0,1.5,PASS,False,0.6666666666666666,124.77,96.6,-25.055,174.88,,,2.7357,0.1403,,71.32621,0.0,0.0,10.88,11.25,0,65.2348224513173,,0.7692307692307693,1,1,100.0,8,9.576804963212949,True,7.61316872427984,,0.020922911893463306,False,False,房地产开发,174.88,0.87373975470597,50.0,79.5704467353952,1.0,0.0,79.57,Tier1,可直接观察,通过,20260522
603950.SH,603950,长源东谷,20200526,,主板,L,724952214.65,11.976351351351354,汽车零部件,汽车,801093.SI,280000,68.85,57.3705,56.6186,7.2081,2.0768,2231640.558,2228032.818,601665054.9999999,False,1,0,False,False,77.92,54.72,-5.096635647816738,70.93862815884478,-14.925564681724834,False,11.976351351351354,-3.057119871279157,6.82,60.85,79438435.31,95.8873,,,835080730.83,233.1412,2.7126,0,2231640.558,601665054.9999999,1.0,1.5,PASS,False,0.47619047619047616,6.82,60.85,-7.74,3.41,,57.3705,7.2081,2.7126,8.412096774193548,70.26558985507246,0.0,0.0,68.85,77.92,0,88.77434135166094,,0.8243243243243243,1,1,85.0,23,10.10900758861295,True,-5.096635647816738,,-0.0075167279599688535,False,False,汽车零部件,3.41,0.059134389577968724,50.0,79.13230240549828,1.0,0.0,79.13,Tier1,可直接观察,通过,20260522
002833.SZ,002833,弘亚数控,20161228,,主板,L,189092033.35,9.179793590439989,专用设备,机械设备,801074.SI,640000,20.12,19.8232,19.2425,2.857,2.8324,853555.3031,579917.1645,196030745.20000002,False,0,0,False,False,22.52,17.82,-6.987505784359083,7.200000000000006,-10.746003552397864,False,9.179793590439989,-3.057119871279157,8.82,-20.84,116504736.0,80.2521,,,1020521178.38,90.3639,4.8777,0,853555.3031,196030745.20000002,1.0,1.5,PASS,False,0.5714285714285714,8.82,-20.84,-11.475,4.41,,19.8232,2.857,4.8777,2.2475283446712018,213.18103214285716,10.0,0.0,20.12,22.52,0,83.16151202749141,,0.78125,1,1,75.0,10,13.561909911454045,True,-6.987505784359083,,-0.061599440146313675,False,False,专用设备,4.41,-0.1152747576311585,32.0,68.84845360824742,1.0,0.0,78.85,Tier1,资金流背离,通过,20260522
600605.SH,600605,汇通能源,19920327,,主板,L,220634362.3,2.67536704730833,一般零售,商业贸易,801203.SI,450000,32.21,275.5004,286.3337,4.6796,2.2808,664435.7038,664435.7038,165295295.4,True,0,0,False,False,35.31,29.6,-4.780635400907707,13.5691086250451,-10.875106202209018,False,2.67536704730833,-3.057119871279157,0.83,2.13,8637962.47,99.449,,,61301247.4,161.4279,0.6101,0,664435.7038,165295295.4,1.0,1.5,PASS,False,0.5,0.83,2.13,-2.72,0.415,,275.5004,4.6796,0.6101,331.92819277108435,294.39719,0.0,0.0,32.21,35.31,0,70.79037800687286,,0.7058823529411765,1,1,100.0,6,12.59133343386295,True,-4.780635400907707,,-0.004463185328791165,False,False,一般零售,0.415,-0.01911811279465526,32.0,77.63711340206186,1.0,0.0,77.64,Tier1,可直接观察,通过,20260522
