subset,period_split,group_type,group_field,group_value,variant,window,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,monthly_t,sharpe_monthly,win_rate_pct
all,all,rank,rank_bucket,top_1_5,t1_net,5,120,115,1.2082055856203688,0.5312442396313389,7.530285649870004,1.3201344304047353,0.27526705723241357,53.91304347826087
all,all,rank,rank_bucket,top_6_10,t1_net,5,120,118,-0.17592104344138837,-0.15253619943274663,7.886369975366423,-0.36042098359440483,-0.07357062519985991,49.152542372881356
all,all,rank,rank_bucket,top_11_15,t1_net,5,120,116,0.7244938086048468,0.5481626992922474,8.655289939628751,0.355611377999691,0.07258886856893623,53.44827586206896
all,all,rank,rank_bucket,top_1_5,t1_net,10,120,115,1.0561321957744816,0.5774906646751222,8.370970929562368,1.0551264217794563,0.22000906759348127,54.78260869565217
all,all,rank,rank_bucket,top_6_10,t1_net,10,120,118,-0.40717846286554216,-0.8356218300680017,10.0886512151254,-0.4503033993579839,-0.09191779648898157,47.45762711864407
all,all,rank,rank_bucket,top_11_15,t1_net,10,120,116,1.5319588925960048,2.0607761176938233,10.454541072920604,0.9794451268061092,0.19992839931087783,55.172413793103445
all,all,rank,rank_bucket,top_1_5,t1_net,20,120,115,2.5134191958277063,-0.46769230769229775,12.271073046275074,1.5543355743622178,0.3241013715362046,47.82608695652174
all,all,rank,rank_bucket,top_6_10,t1_net,20,120,118,0.2934373933141074,-2.7161167227833802,13.004787479322722,0.024494504186748613,0.0049999197300000285,42.3728813559322
all,all,rank,rank_bucket,top_11_15,t1_net,20,120,116,3.127536544023764,2.138357946219853,12.782550005455501,1.7818815911403718,0.3637250566960425,56.03448275862068
all,all,tier,tier_group,Tier1,t1_net,5,305,305,0.6287054214352595,0.35413881748072484,7.680264749542151,0.9137131665343621,0.1905223655361469,51.80327868852459
all,all,tier,tier_group,Tier2,t1_net,5,55,44,0.23797926092424307,0.9095100055456597,10.268239418463862,0.028123480164697803,0.01148136269913224,54.54545454545454
all,all,tier,tier_group,Tier1,t1_net,10,305,305,0.9799844759189402,0.6710249307479145,9.548691451086123,1.0350346130355457,0.21581963586589795,54.09836065573771
all,all,tier,tier_group,Tier2,t1_net,10,55,44,-1.0859065845047462,-0.9313533174463826,10.590939692739104,-0.1618545089578537,-0.06607682658591178,40.909090909090914
all,all,tier,tier_group,Tier1,t1_net,20,305,305,2.8384831990927104,0.3200000000000137,12.868228148175927,1.5956887814008023,0.33272411127123597,51.147540983606554
all,all,tier,tier_group,Tier2,t1_net,20,55,44,-4.074416288301575,-4.383991287021961,9.749880655252825,-1.6934659593739583,-0.6913545828731643,31.818181818181817
all,all,entry,entry_flag_group,可直接观察,t1_net,5,310,310,0.57418751324612,0.21605561064787404,7.763559042118289,0.7315591335964986,0.15254062408997518,50.967741935483865
