ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,low_base_growth_flag,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,downgrade_reasons,score_penalty_reasons,entry_flag,cninfo_flag,run_date
600866.SH,600866,星湖科技,19940818,,主板,L,343115423.40000004,12.795549374130722,化学制品,化工,801034.SI,220000,8.11,14.2867,11.5578,1.7344,2.5176,1347454.2916,1018428.9218,384149553.8,True,0,0,False,False,8.32,7.13,1.5018773466833446,9.005376344086002,-2.5240384615384692,False,12.795549374130722,3.3333333333333437,81.61,57.07,461812380.67,97.3932,,,2900112752.56,61.5725,5.8264,0,1347454.2916,384149553.8,1.0,1.5,PASS,False,0.46875,81.61,57.07,9.29,81.60999999999999,,14.2867,1.7344,5.8264,0.175060654331577,80.1013,10.0,0.0,8.11,8.32,False,0,50.0,,0.8333333333333334,1,1,100.0,10,9.181861180441732,True,1.5018773466833446,,-0.0037131370471142305,False,False,化学制品,81.60999999999999,False,0.5023376641110383,50.0,75.0,1.0,0.0,85.0,Tier1,,,可直接观察,回测跳过,20250731
002725.SZ,002725,跃岭股份,20140129,,主板,L,314757875.5500001,5.961844197138322,汽车零部件,汽车,801093.SI,280000,13.33,72.3068,65.7188,3.3494,6.9611,341248.0,282497.9512,207807985.99999997,True,1,0,False,False,15.53,12.4,-0.9658246656760849,10.71428571428572,-14.16613007083065,False,5.961844197138322,3.3333333333333437,498.36,110.72,6327500.85,91.211,,,3717437.839999999,233.2565,0.6832,0,341248.0,207807985.99999997,1.0,1.5,PASS,False,0.4375,498.36,110.72,5.93,498.36,,72.3068,3.3494,0.6832,0.14508949353880726,119.60089814814816,0.0,0.0,13.33,15.53,True,0,50.0,,0.7192982456140351,1,1,100.0,18,3.5157172315005925,False,-0.9658246656760849,,-0.006361400908530964,False,False,汽车零部件,200.0,True,2.412405743303703,82.0,81.4,1.0,0.0,81.4,Tier1,,esp_raw_cap_200,可直接观察,回测跳过,20250731
000623.SZ,000623,吉林敖东,19961028,,主板,L,377275272.59999996,10.683012259194413,中药,医药生物,801155.SI,370000,18.96,14.6154,11.7814,0.7799,1.9624,2267417.6538,2258286.4343,466108332.79999995,True,0,0,False,False,20.15,16.91,-0.6289308176100517,17.181705809641535,-5.905707196029764,False,10.683012259194413,3.3333333333333437,75.56,19.76,488299815.25,94.478,,,4078220024.34,10.7983,1.7684,0,2267417.6538,466108332.79999995,1.0,1.5,PASS,False,0.21875,75.56,19.76,-0.8099999999999999,77.18,,14.6154,0.7799,1.7684,0.19342773954473264,194.86124800000002,0.0,0.0,18.96,20.15,False,0,50.0,,0.7037037037037037,1,1,100.0,9,3.761982977916678,False,-0.6289308176100517,,-0.02314657096359677,False,False,中药,77.18,False,1.1668616185706464,68.0,78.6,1.0,0.0,78.6,Tier1,,,可直接观察,回测跳过,20250731
000977.SZ,000977,浪潮信息,20000608,,主板,L,2985496313.6,10.852713178294572,计算机设备,计算机,801101.SI,710000,55.77,35.8243,33.5384,4.0831,7.5408,8210097.5754,8200537.298,3317016362.6,True,0,0,False,False,57.12,49.53,1.603206412825653,6.777713957495712,-2.363445378151252,False,10.852713178294572,3.3333333333333437,80.76,67.59,427041823.21,92.3007,,,3878502552.98,1205.6935,2.2976,0,8210097.5754,3317016362.6,1.0,1.5,PASS,False,0.65625,80.76,67.59,1.33,80.76,,35.8243,4.0831,2.2976,0.44358964834076275,88.27402000000001,0.0,0.0,55.77,57.12,False,0,50.0,,0.875,1,1,100.0,5,8.253318343307582,True,1.603206412825653,,0.01220635214348864,False,False,计算机设备,80.76,False,0.6927275437944974,50.0,75.0,1.0,0.0,75.0,Tier1,,,可直接观察,回测跳过,20250731
600862.SH,600862,中航高科,19940520,,主板,L,389619800.35,5.1312649164677815,航空装备,国防军工,801742.SI,650000,26.43,31.9414,31.7546,5.1894,1.2252,3681828.7898,3681828.7898,473362026.20000005,False,0,0,False,False,27.81,24.65,-3.3991228070175405,9.713574097135735,-4.962243797195254,False,5.1312649164677815,3.3333333333333437,0.38,13.0,352412832.18,98.4927,,,2981695120.33,18.3354,4.9268,0,3681828.7898,473362026.20000005,1.0,1.5,PASS,False,0.9375,0.38,13.0,-5.66,0.19,,31.9414,5.1894,4.9268,84.05631578947369,168.910925,10.0,0.0,26.43,27.81,False,0,50.0,,0.7058823529411765,1,1,75.0,6,0.2741220593249327,False,-3.3991228070175405,,-0.0013067588312218313,False,False,航空装备,0.19,False,0.19862396799990711,50.0,62.5,1.0,0.0,72.5,Tier1,,,可直接观察,回测跳过,20250731
600933.SH,600933,爱柯迪,20171117,,主板,L,200215967.15,11.741935483870968,汽车零部件,汽车,801093.SI,280000,17.32,18.1608,17.6833,2.1069,2.8367,1706229.8682,1692803.4042,332005278.2,True,0,0,False,False,17.61,15.31,5.867970660146704,-3.3482142857142905,-1.6467915956842605,False,11.741935483870968,3.3333333333333437,6.64,0.4,236035912.02,91.7518,,,2214030717.5099998,159.7045,3.072,0,1706229.8682,332005278.2,1.0,1.5,PASS,False,0.4375,6.64,0.4,5.93,0.71,,18.1608,2.1069,3.072,2.7350602409638554,119.60089814814816,0.0,0.0,17.32,17.61,False,0,50.0,,0.8421052631578947,1,1,100.0,18,9.295808518233239,True,5.867970660146704,,-0.0030270302637063393,False,False,汽车零部件,0.71,False,-0.14055095815013524,32.0,71.4,1.0,0.0,71.4,Tier1,,,可直接观察,回测跳过,20250731
002430.SZ,002430,杭氧股份,20100610,,主板,L,283995767.95,9.16334661354583,化学制品,化工,801034.SI,220000,21.92,23.2505,22.7071,2.3731,1.0152,2144545.8808,2143108.8604,281321321.8,True,0,0,False,False,23.18,19.7,-3.7752414398595224,8.892200695479403,-5.435720448662629,False,9.16334661354583,3.3333333333333437,13.81,-23.41,222561605.27,98.4456,,,2116634444.79,126.59,2.4193,0,2144545.8808,281321321.8,1.0,1.5,PASS,False,0.46875,13.81,-23.41,9.29,4.520000000000001,,23.2505,2.3731,2.4193,1.6835988414192613,80.1013,0.0,0.0,21.92,23.18,False,0,50.0,,0.7333333333333333,1,1,100.0,10,5.549658419856839,True,-3.7752414398595224,,-0.050093887292948086,False,False,化学制品,4.520000000000001,False,-0.23737848495532843,32.0,71.4,1.0,0.0,71.4,Tier1,,,资金流背离,回测跳过,20250731
002395.SZ,002395,双象股份,20100429,,主板,L,227544826.54999998,9.41243582430118,塑料,化工,801036.SI,220000,19.18,10.8985,9.8657,3.7055,3.5289,514424.862,514424.862,203472130.59999996,True,1,0,False,False,20.55,17.32,1.7506631299734732,11.967308814944545,-6.666666666666677,False,9.41243582430118,3.3333333333333437,280.53,138.77,60418176.28,88.7395,,,283240944.72,6.3069,4.8831,0,514424.862,203472130.59999996,1.0,1.5,PASS,False,0.6875,280.53,138.77,19.67,280.53,,10.8985,3.7055,4.8831,0.0388496773963569,81.76676428571429,10.0,0.0,19.18,20.55,False,0,50.0,,0.5625,0,1,55.0,5,0.5058948103735315,False,1.7506631299734732,,0.012024839763083052,False,False,塑料,200.0,True,2.5148002946567027,82.0,58.900000000000006,1.0,0.0,68.9,Tier1,,esp_raw_cap_200,可直接观察,回测跳过,20250731
603166.SH,603166,福达股份,20141127,,主板,L,412855410.7,13.35616438356164,汽车零部件,汽车,801093.SI,280000,16.55,57.7218,48.8809,4.4623,3.1131,1069475.3174,1057559.3174,277444190.2,False,1,0,False,False,18.44,14.31,-3.554778554778548,-4.3905257076834125,-10.249457700650765,False,13.35616438356164,3.3333333333333437,112.01,82.59,65514339.12,100.6259,,,431589334.9,269.5819,2.6831,0,1069475.3174,277444190.2,1.0,1.5,PASS,False,0.4375,112.01,82.59,5.93,112.01000000000002,,57.7218,4.4623,2.6831,0.5153272029283099,119.60089814814816,0.0,0.0,16.55,18.44,True,0,50.0,,0.8771929824561403,1,1,75.0,18,10.910037417923911,True,-3.554778554778548,,-0.008537429042483429,False,False,汽车零部件,112.01000000000002,False,1.2852309720611763,68.0,66.1,1.0,0.0,66.1,Tier1,,,可直接观察,回测跳过,20250731
002917.SZ,002917,金奥博,20171208,,主板,L,336100364.65,8.94970414201184,化学制品,化工,801034.SI,220000,14.73,41.2675,35.2309,3.2326,4.5762,512035.7122,383717.2822,310799135.6,False,2,2,False,False,18.76,13.49,-2.836411609498679,-1.008064516129037,-21.48187633262261,False,8.94970414201184,3.3333333333333437,170.65,25.13,34223779.02,95.8058,,,322376579.20000005,96.4039,2.2403,0,512035.7122,310799135.6,1.0,1.5,PASS,False,0.46875,170.65,25.13,9.29,170.65,,41.2675,3.2326,2.2403,0.24182537357163783,80.1013,0.0,0.0,14.73,18.76,False,0,50.0,,0.7,1,1,75.0,10,5.336015948322848,True,-2.836411609498679,,-0.02047010036964065,False,False,化学制品,170.65,False,1.3567198915448082,68.0,66.1,1.0,0.0,66.1,Tier1,,,可直接观察,回测跳过,20250731
