ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,vol_shrink,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,entry_flag,cninfo_flag,run_date
600366.SH,600366,宁波韵升,20001030,,主板,L,366259184.4,7.056936647955081,金属非金属新材料,未知,801051.SI,240000,13.35,44.3503,35.7736,2.3089,3.0767,1467219.8031,1467219.8031,455686054.0,True,0,0,False,False,13.94,12.44,-4.025880661394687,-4.025880661394687,-4.232424677187952,False,7.056936647955081,1.410939133031408,703.22,185.27,99336176.17,85.2431,,,717995468.18,43.8,1.8538,0,1467219.8031,455686054.0,1.0,1.5,PASS,False,0.5555555555555556,703.22,185.27,,351.61,COV-LOW,44.3503,2.3089,1.8538,0.06306746110747703,44.3503,0.0,0.0,13.35,13.94,False,0,79.95418098510882,,1.0,1,1,100.0,1,0.0,False,-4.025880661394687,,-0.006050042567684484,False,False,独立池,351.61,0.0,25.97785262338988,79.18182482021062,1.0,0.0,79.18,Tier1,可直接观察,回测跳过,20260515
600578.SH,600578,京能电力,20020510,,主板,L,462378757.75,34.2911877394636,未知,未知,,,7.01,13.2962,13.1536,1.8612,6.6241,4692929.3315,4692929.3315,1104805176.6000001,True,3,3,True,True,7.01,4.78,35.328185328185334,34.03441682600381,0.0,False,34.2911877394636,1.410939133031408,3.18,110.65,1091969409.9,99.1502,,,9715939318.41,182.6142,3.7799,0,4692929.3315,1104805176.6000001,1.0,1.5,PASS,False,0.4444444444444444,3.18,110.65,1.0,3.18,,13.2962,1.8612,3.7799,4.181194968553459,99.46392506573181,10.0,0.0,7.01,7.01,False,0,88.65979381443299,CHASE,0.9357798165137615,1,1,100.0,393,32.526873622208306,True,35.328185328185334,LOCK|突破型|OVERHEAT,0.014311274707580795,True,True,独立池,3.18,0.0,20.887232186875494,80.775384581705,1.0,0.0,90.78,Tier2,追高风险，周一确认,未检查,20260515
600415.SH,600415,小商品城,20020509,,主板,L,1640491240.6000001,12.520458265139101,未知,未知,,,13.75,17.937,17.1726,3.1589,3.5833,7539893.9358,7539893.9358,1797243020.1999998,True,0,0,False,False,14.2,12.05,4.324734446130507,-10.013089005235598,-3.169014084507038,False,12.520458265139101,1.410939133031408,18.87,30.5,945229245.65,95.435,,,9898037805.08,4.9854,4.2312,0,7539893.9358,1797243020.1999998,1.0,1.5,PASS,False,0.4444444444444444,18.87,30.5,1.0,18.87,,17.937,3.1589,4.2312,0.9505564387917329,99.46392506573181,10.0,0.0,13.75,14.2,False,0,88.31615120274914,,0.7553516819571865,1,1,100.0,393,10.756144147883807,True,4.324734446130507,,0.00394113644163082,False,False,独立池,18.87,0.0,21.11646570479562,80.71813850178387,1.0,0.0,90.72,Tier2,可直接观察,未检查,20260515
603268.SH,603268,松发股份,20150319,,主板,L,1402605989.5500002,42.610277398817644,未知,未知,,,156.8,57.3411,40.3875,14.4346,2.1181,15221803.791,3657356.7386,1084680165.6000001,True,1,0,False,False,168.53,109.02,-2.9102167182662453,83.60655737704919,-6.960185130243868,False,42.610277398817644,1.410939133031408,5180.163,2694.8882,1092102400.0,99.8756,,,3928805282.8,302.4845,10.936,0,15221803.791,1084680165.6000001,1.0,1.5,PASS,False,0.4444444444444444,5180.163,2694.8882,1.0,5180.163,,57.3411,14.4346,10.936,0.011069362103084401,99.46392506573181,0.0,0.0,156.8,168.53,True,0,95.99083619702176,CHASE,0.9587155963302753,1,1,100.0,393,40.84596328156235,True,-2.9102167182662453,,-0.009671800216723776,True,False,独立池,1995.8175999999994,0.0,50.0,88.79725085910653,1.0,0.0,88.8,Tier2,追高风险，周一确认,未检查,20260515
002034.SZ,002034,旺能环境,20040826,,主板,L,486228742.25,22.95782167645488,未知,未知,,,23.03,16.2404,16.229,1.4057,10.8251,1171239.2041,1166279.0304,875721274.3999999,True,1,1,False,False,23.8,16.72,21.65874273639725,33.73983739837401,-3.2352941176470584,False,22.95782167645488,1.410939133031408,-0.15,26.6,199642096.32,99.2459,,,1855769639.3799999,102.9189,2.7507,0,1171239.2041,875721274.3999999,1.0,1.5,PASS,False,0.4444444444444444,-0.15,26.6,1.0,-1.15,,16.2404,1.4057,2.7507,,99.46392506573181,10.0,0.0,23.03,23.8,False,0,81.09965635738831,CHASE,0.8723241590214067,1,1,100.0,393,21.193507559199585,True,21.65874273639725,OVERHEAT,0.04087144168306981,True,True,独立池,-1.15,0.0,20.82397016440295,78.49469094009709,1.0,0.0,88.49,Tier2,追高风险，周一确认,未检查,20260515
603738.SH,603738,泰晶科技,20160928,,主板,L,2353157510.4499993,104.71454880294661,元件,未知,801083.SI,270000,55.58,410.6823,322.1335,11.7947,18.7328,2144762.6805,2144762.6805,3163830182.6,True,6,4,False,True,58.28,26.8,7.484045639141357,240.98159509202452,-4.632807137954709,False,104.71454880294661,1.410939133031408,5040.95,-38.94,15290105.09,66.3504,,,88538986.44,255.7435,1.283,0,2144762.6805,3163830182.6,1.0,1.5,PASS,False,0.8888888888888888,5040.95,-38.94,,2520.475,COV-LOW,410.6823,11.7947,1.283,0.08146922703061923,220.3882,0.0,0.0,55.58,58.28,False,0,94.50171821305841,CHASE,1.0,1,1,100.0,1,51.23253002519519,True,7.484045639141357,突破型,0.0036473101495775595,True,False,独立池,1995.8175999999994,0.0,50.0,88.35051546391752,1.0,0.0,88.35,Tier2,追高风险，周一确认,未检查,20260515
603978.SH,603978,深圳新星,20170807,,主板,L,505163025.99999994,34.52380952380951,未知,未知,,,33.9,,,4.3145,12.5287,715609.6736,715609.6736,789702375.6,True,1,1,False,False,34.68,24.01,10.1364522417154,34.577213179833244,-2.249134948096887,False,34.52380952380951,1.410939133031408,3933.4,73.3422,18312651.14,101.509,,,-155956930.95,557.6938,1.095,0,715609.6736,789702375.6,1.0,1.5,PASS,False,0.4444444444444444,3933.4,73.3422,1.0,3933.4,,,4.3145,1.095,,99.46392506573181,0.0,0.0,33.9,34.68,False,0,93.69988545246277,CHASE,0.9388379204892966,1,1,100.0,393,32.759495406554215,True,10.1364522417154,OVERHEAT,-0.00949077827246203,True,True,独立池,1995.8175999999994,0.0,50.0,88.10996563573883,1.0,0.0,88.11,Tier2,追高风险，周一确认,未检查,20260515
000783.SZ,000783,长江证券,19970731,,主板,L,1214663397.9,15.573770491803284,未知,未知,,,8.46,12.6567,11.1309,1.2701,2.8047,4678441.714,4678441.714,2274817377.7999997,True,2,2,False,False,9.24,7.09,-3.424657534246567,4.702970297029707,-8.441558441558438,False,15.573770491803284,1.410939133031408,51.97,108.69,1469883871.13,98.8979,,,10357819514.380001,706.7529,3.507,0,4678441.714,2274817377.7999997,1.0,1.5,PASS,False,0.4444444444444444,51.97,108.69,1.0,51.97,,12.6567,1.2701,3.507,0.24353857994997116,99.46392506573181,10.0,0.0,8.46,9.24,False,0,77.20504009163804,CHASE,0.8019877675840978,1,1,100.0,393,13.80945637454799,True,-3.424657534246567,,-0.0014934693416729205,True,False,独立池,51.97,0.0,21.60006222762266,77.48152447301595,1.0,0.0,87.48,Tier2,追高风险，周一确认,未检查,20260515
002176.SZ,002176,江特电机,20071012,,主板,L,2917161524.8500004,23.39449541284402,未知,未知,,,13.45,,,7.7635,7.1613,2295007.9064,2291109.2612,2341436462.3999996,True,2,1,False,False,16.97,10.85,-12.148922273024176,45.72047670639219,-20.742486741308184,False,23.39449541284402,1.410939133031408,79.29,40.35,-11277354.45,,,,-727582891.14,,-6.0748,0,2295007.9064,2341436462.3999996,1.0,1.5,PASS,False,0.4444444444444444,79.29,40.35,1.0,79.29,,,7.7635,-6.0748,,99.46392506573181,0.0,0.0,13.45,16.97,False,0,99.0836197021764,CHASE,0.8753822629969419,1,1,100.0,393,21.630181295588724,True,-12.148922273024176,,-0.03852105797258723,True,False,独立池,79.29,0.0,21.99921198604063,84.12492830786104,1.0,0.0,84.12,Tier2,追高风险，周一确认,未检查,20260515
603078.SH,603078,江化微,20170410,,主板,L,633657791.0499998,33.14260563380282,未知,未知,,,30.25,111.2991,109.2551,5.847,12.7791,1166552.6752,1166552.6752,1029211526.0,True,1,1,False,False,30.25,22.66,5.732261447046483,21.730382293762563,0.0,False,33.14260563380282,1.410939133031408,10.07,5.19,26474436.88,92.0002,,,237749136.8,112.897,1.4537,0,1166552.6752,1029211526.0,1.0,1.5,PASS,False,0.4444444444444444,10.07,5.19,1.0,10.07,,111.2991,5.847,1.4537,11.052542204568024,99.46392506573181,0.0,0.0,30.25,30.25,False,0,98.3963344788087,CHASE,0.9281345565749235,1,1,100.0,393,31.378291516547527,True,5.732261447046483,OVERHEAT,0.032335500869636595,True,True,独立池,10.07,0.0,20.98789623649115,83.71647959094084,1.0,0.0,83.72,Tier2,追高风险，周一确认,未检查,20260515
002971.SZ,002971,和远气体,20200113,,主板,L,366795777.95000005,39.22297297297297,未知,未知,,,41.21,144.6431,164.0992,4.8281,20.4352,872642.355,644529.9634,635001530.4,True,3,2,True,True,41.21,29.23,20.25094835132768,28.741018431740084,0.0,False,39.22297297297297,1.410939133031408,-4.46,-35.7,16004060.85,88.6939,,,133506829.78,23.5332,1.0624,0,872642.355,635001530.4,1.0,1.5,PASS,False,0.4444444444444444,-4.46,-35.7,1.0,-5.46,,144.6431,4.8281,1.0624,,99.46392506573181,0.0,0.0,41.21,41.21,False,0,98.51088201603666,CHASE,0.9525993883792049,1,1,100.0,393,37.45865885571767,True,20.25094835132768,LOCK|突破型|OVERHEAT,0.04453497650407383,True,True,独立池,-5.46,0.0,20.761000345267465,83.7054646738645,1.0,0.0,83.71,Tier2,追高风险，周一确认,未检查,20260515
002975.SZ,002975,博杰股份,20200205,,主板,L,1471830078.1499999,32.294063506672785,未知,未知,,,114.99,163.5617,102.7705,10.1694,14.8081,2393295.3333,1579434.0945,1809016135.6000001,True,2,1,False,False,127.64,86.16,9.057283763277702,48.95077720207253,-9.910686305233474,False,32.294063506672785,1.410939133031408,383.58,1007.58,64367751.43,97.6708,,,237285346.27,52.505,2.8394,0,2393295.3333,1809016135.6000001,1.0,1.5,PASS,False,0.4444444444444444,383.58,1007.58,1.0,383.58,,163.5617,10.1694,2.8394,0.42640831117367956,99.46392506573181,0.0,0.0,114.99,127.64,False,0,92.78350515463917,CHASE,0.9250764525993884,1,1,100.0,393,30.52974938941749,True,9.057283763277702,OVERHEAT,0.015474787220666886,True,True,独立池,383.58,0.0,26.444939657673274,83.1240394779264,1.0,0.0,83.12,Tier2,追高风险，周一确认,未检查,20260515
600207.SH,600207,安彩高科,19990714,,主板,L,250206437.55000007,26.07879924953096,未知,未知,,,6.72,,,3.8981,5.7236,732018.0363,732018.0363,391838921.20000005,True,1,1,False,False,6.91,5.23,5.494505494505497,31.76470588235294,-2.749638205499283,False,26.07879924953096,1.410939133031408,-31.4016,-75.759,-150991356.21,,,,-1478355419.92,,-7.5792,0,732018.0363,391838921.20000005,1.0,1.5,PASS,False,0.4444444444444444,-31.4016,-75.759,1.0,-32.4016,,,3.8981,-7.5792,,99.46392506573181,0.0,0.0,6.72,6.91,False,0,96.10538373424971,CHASE,0.8944954128440367,1,1,100.0,393,24.314485132275664,True,5.494505494505497,OVERHEAT,-0.005014484140944557,True,True,独立池,-32.4016,0.0,20.36737907398659,82.90509093507222,1.0,0.0,82.91,Tier2,追高风险，周一确认,未检查,20260515
002436.SZ,002436,兴森科技,20100618,,主板,L,4332736021.500001,27.489878542510127,未知,未知,,,31.49,396.6232,370.8658,10.0281,9.0283,5352272.0499,4779962.9272,4768226487.200001,True,1,1,False,False,34.74,24.57,-5.064817606270733,40.76888690210101,-9.355210132412218,False,27.489878542510127,1.410939133031408,308.32,172.03,28173909.69,150.3034,,,364630152.78999996,,0.3508,0,5352272.0499,4768226487.200001,1.0,1.5,PASS,False,0.4444444444444444,308.32,172.03,1.0,308.32,,396.6232,10.0281,0.3508,1.2864011416709913,99.46392506573181,0.0,0.0,31.49,34.74,False,0,92.78350515463917,CHASE,0.9029051987767585,1,1,100.0,393,25.72556442525483,True,-5.064817606270733,,-0.007075024659745126,True,False,独立池,308.32,0.0,25.345378500333,82.90412724645836,1.0,0.0,82.9,Tier2,追高风险，周一确认,未检查,20260515
