ts_code,symbol,name,list_date,delist_date,market,list_status,avg_amount_20d,pct_20d,l2_name,l1_name,l2_code,l1_code,close,pe,pe_ttm,pb,turnover_rate,total_mv,circ_mv,avg_amount_5d,vol_confirm,limit_20d,limit_10d,is_lock,is_breakout,high_20d,low_20d,pct_5d,pct_60d,drawdown_20d,has_crash_veto,pct_20d_n,market_med_20d,q0_dt_yoy,q1_dt_yoy,q0_profit_dedt,q0_dt_profit_ratio,q0_net_income,ttm_net_income,ttm_profit_dedt,ttm_ocf_ratio,roe,reduce_deduct,total_mv_n,avg_amt_5d_n,l1_leader,l1_score,l1_flag,itf_adj,l2_pe_mkt_pct,q0_dt_yoy_n,q1_dt_yoy_n,ind_med,esp_raw,l2_flags,pe_n,pb_n,roe_n,peg_n,pe_mean,val_bonus,val_penalty,close_n,high_20d_n,reduce_penalty,cat_score,cat_flag,mom_rank,l4_mom_ok,l4_rel_ok,l4_score,ind_mom_cnt,alpha_excess,alpha_flag,pct_5d_n,l4_flag,big_ratio,chasing_high,overheat_flag,z_group,esp_raw_w,esp_z,esp_score,egs_base,mult,deduct,final_score,tier,entry_flag,cninfo_flag,run_date
605566.SH,605566,福莱蒽特,20211025,,主板,L,166441511.54999998,13.022556390977446,化学制品,未知,801034.SI,220000,36.6,108.7902,86.861,2.4011,12.4588,488024.4,488024.4,230727082.20000002,True,1,1,False,False,38.63,30.96,5.236628395407439,17.437499999999993,-2.7180947450168413,False,13.022556390977446,-3.057119871279157,90.27,243.3,24540899.87,97.9649,,,148217351.01,-79.1002,1.2413,1,488024.4,230727082.20000002,1.0,1.5,PASS,False,0.5714285714285714,90.27,243.3,,45.135,COV-LOW,108.7902,2.4011,1.2413,1.2051645064805583,108.7902,0.0,0.0,36.6,38.63,10,50.0,COV-LOW,1.0,1,1,100.0,1,6.246527817273906,True,5.236628395407439,,0.01653770660796466,False,False,独立池,45.135,0.0,24.029685616588985,69.80593712331779,1.0,10.0,59.81,Tier1,可直接观察,回测跳过,20260522
603298.SH,603298,杭叉集团,20161227,,主板,L,235733227.55000004,6.115384615384611,未知,未知,,,27.38,16.3658,16.1057,2.9794,0.3888,3586265.3902,3586265.3902,186335477.39999998,True,0,0,False,False,30.18,25.31,-1.9196587273373589,-8.793388429752069,-8.581842279655405,False,6.115384615384611,-3.057119871279157,10.83,9.36,464727262.3,98.5411,,,5424418598.25,40.0812,3.9891,0,3586265.3902,186335477.39999998,1.0,1.5,PASS,False,0.2857142857142857,10.83,9.36,0.94,10.83,,16.3658,2.9794,3.9891,1.5111542012927055,103.77863651732882,10.0,0.0,27.38,30.18,0,85.2233676975945,,0.7331010452961673,1,1,100.0,431,9.273279352226737,True,-1.9196587273373589,,-0.004584819085817154,False,False,独立池,10.83,0.0,23.55805523248924,80.2786213557762,1.0,0.0,90.28,Tier2,可直接观察,未检查,20260522
600415.SH,600415,小商品城,20020509,,主板,L,1873953457.6500003,9.635627530364378,未知,未知,,,13.35,17.4152,16.673,3.067,1.7565,7320551.5667,7320551.5667,2232160703.6,True,0,0,False,False,14.36,12.19,-1.5272727272727327,-9.853528628495345,-5.710306406685239,False,9.635627530364378,-3.057119871279157,18.87,30.5,945229245.65,95.435,,,9898037805.08,4.9854,4.2312,0,7320551.5667,2232160703.6,1.0,1.5,PASS,False,0.2857142857142857,18.87,30.5,0.94,18.87,,17.4152,3.067,4.2312,0.9229040805511393,103.77863651732882,10.0,0.0,13.35,14.36,0,84.5360824742268,,0.7909407665505227,1,1,100.0,431,12.793522267206503,True,-1.5272727272727327,,-0.004471441739406806,False,False,独立池,18.87,0.0,23.66859038153929,80.0945428185759,1.0,0.0,90.09,Tier2,可直接观察,未检查,20260522
603738.SH,603738,泰晶科技,20160928,,主板,L,2637000680.75,35.938852033458325,元件,未知,801083.SI,270000,50.24,371.2249,291.1837,10.6615,13.5723,1938698.7598,1938698.7598,3163289929.0,True,5,2,False,True,58.28,30.95,-15.203310543360915,164.77528089887642,-19.131777625257374,False,35.938852033458325,-3.057119871279157,5040.95,-38.94,15290105.09,66.3504,,,88538986.44,255.7435,1.283,0,1938698.7598,3163289929.0,1.0,1.5,PASS,False,0.8571428571428571,5040.95,-38.94,,2520.475,COV-LOW,371.2249,10.6615,1.283,0.0736418532221109,206.9943,0.0,0.0,50.24,58.28,0,94.73081328751431,CHASE,1.0,1,1,100.0,1,1.4057990203355573,False,-15.203310543360915,突破型,-0.023205585282472206,True,False,独立池,1934.1388999999992,0.0,50.0,88.41924398625429,1.0,0.0,88.42,Tier2,追高风险，周一确认,未检查,20260522
603259.SH,603259,药明康德,20180508,,主板,L,4913209170.7,5.763571790969069,未知,未知,,,103.98,16.2006,15.4123,3.6837,1.3433,31025106.8977,25717167.9979,3864664364.8,True,1,0,False,False,114.5,97.61,1.0666149520023316,4.053109713487069,-8.969432314410476,False,5.763571790969069,-3.057119871279157,83.56,32.56,4275624429.82,91.9189,,,32620721127.66,64.0401,5.6749,0,31025106.8977,3864664364.8,1.0,1.5,PASS,False,0.2857142857142857,83.56,32.56,0.94,83.56,,16.2006,3.6837,5.6749,0.1938798468166587,103.77863651732882,10.0,0.0,103.98,114.5,0,73.8831615120275,,0.7240418118466899,1,1,100.0,431,8.921466527811194,True,1.0666149520023316,,0.007340066717412268,False,False,独立池,83.56,0.0,24.557958390500445,77.07654013170834,1.0,0.0,87.08,Tier2,可直接观察,未检查,20260522
601838.SH,601838,成都银行,20180131,,主板,L,431230985.75,6.052036199095023,未知,未知,,,18.54,5.9157,5.8519,0.8543,0.3963,7858059.15,7858059.15,348535856.59999996,True,0,0,False,False,19.25,17.42,0.1602564102564097,16.09907120743035,-2.5974025974025983,False,6.052036199095023,-3.057119871279157,5.12,3.23,3145992000.0,99.6607,,,32443072000.0,1879.3863,3.1203,0,7858059.15,348535856.59999996,1.0,1.5,PASS,False,0.2857142857142857,5.12,3.23,0.94,5.119999999999999,,5.9157,0.8543,3.1203,1.15541015625,103.77863651732882,10.0,0.0,18.54,19.25,0,74.5704467353952,,0.7317073170731707,1,1,100.0,431,9.20993093593715,True,0.1602564102564097,,-0.009512725607662082,False,False,独立池,5.119999999999999,0.0,23.479553279619118,77.06704467654238,1.0,0.0,87.07,Tier2,可直接观察,未检查,20260522
603978.SH,603978,深圳新星,20170807,,主板,L,561139075.8499999,27.598425196850386,未知,未知,,,31.47,,,4.0052,6.2825,664313.759,664313.759,595325160.5999999,True,1,0,False,False,34.68,24.01,-4.395280235988208,25.717610550814562,-6.545559400230694,False,27.598425196850386,-3.057119871279157,3933.4,73.3422,18312651.14,101.509,,,-155956930.95,557.6938,1.095,0,664313.759,595325160.5999999,1.0,1.5,PASS,False,0.2857142857142857,3933.4,73.3422,0.94,3933.4,,,4.0052,1.095,,103.77863651732882,0.0,0.0,31.47,34.68,0,89.69072164948454,CHASE,0.9386759581881533,1,1,100.0,431,30.756319933692513,True,-4.395280235988208,,-0.016334282209917606,True,False,独立池,1934.1388999999992,0.0,50.0,86.90721649484536,1.0,0.0,86.91,Tier2,追高风险，周一确认,未检查,20260522
600578.SH,600578,京能电力,20020510,,主板,L,1054540967.0499998,49.81684981684982,未知,未知,,,8.22,15.5912,15.424,2.1825,7.8812,5502978.4743,5502978.4743,3055306745.6,True,5,5,False,True,8.48,4.78,16.69044222539229,57.30769230769231,-3.5377358490566113,False,49.81684981684982,-3.057119871279157,3.18,110.65,1091969409.9,99.1502,,,9715939318.41,182.6142,3.7799,0,5502978.4743,3055306745.6,1.0,1.5,PASS,False,0.2857142857142857,3.18,110.65,0.94,3.18,,15.5912,2.1825,3.7799,4.902893081761007,103.77863651732882,10.0,0.0,8.22,8.48,0,69.0721649484536,,0.9818815331010453,1,1,100.0,431,52.97474455369194,True,16.69044222539229,突破型|OVERHEAT,0.006762475902788037,True,True,独立池,3.18,0.0,23.452881863057293,75.41222585714755,1.0,0.0,85.41,Tier2,追高风险，周一确认,未检查,20260522
002034.SZ,002034,旺能环境,20040826,,主板,L,543944051.1999999,7.841140529531554,未知,未知,,,21.18,14.9358,14.9254,1.2928,6.031,1077153.5538,1072591.8308,745721332.6,True,1,1,False,False,23.8,16.72,-8.033000434216241,23.426573426573416,-11.008403361344543,False,7.841140529531554,-3.057119871279157,-0.15,26.6,199642096.32,99.2459,,,1855769639.3799999,102.9189,2.7507,0,1077153.5538,745721332.6,1.0,1.5,PASS,False,0.2857142857142857,-0.15,26.6,0.94,-1.0899999999999999,,14.9358,1.2928,2.7507,,103.77863651732882,10.0,0.0,21.18,23.8,0,67.81214203894616,,0.756794425087108,1,1,100.0,431,10.99903526637368,True,-8.033000434216241,,-0.0050473638484660206,False,False,独立池,-1.0899999999999999,0.0,23.394177250315536,75.02247806174695,1.0,0.0,85.02,Tier2,可直接观察,未检查,20260522
002859.SZ,002859,洁美科技,20170407,,主板,L,648344860.35,16.920111372885003,未知,未知,,,60.05,117.8011,110.7356,8.4222,4.7649,2589515.5408,2437425.927,783212251.5999999,True,0,0,False,False,58.48,44.72,5.979421471558921,23.506787330316747,-6.651846785225713,False,16.920111372885003,-3.057119871279157,47.97,7.96,46678805.54,97.7507,,,527744271.29,54.7533,1.5156,0,2589515.5408,783212251.5999999,1.0,1.5,PASS,False,0.2857142857142857,47.97,7.96,0.94,47.97,,117.8011,8.4222,1.5156,2.455724411090265,103.77863651732882,0.0,0.0,60.05,58.48,0,99.7709049255441,CHASE,0.8773519163763066,1,1,100.0,431,20.07800610972713,True,5.979421471558921,,0.0049155899735518925,True,False,独立池,47.97,0.0,24.06866162996671,84.74500380365657,1.0,0.0,84.75,Tier2,追高风险，周一确认,未检查,20260522
