subset,trade_date,window,variant,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,win_rate_pct
all,20240131,5,close,15,15,-3.6710137780846415,0.1945525291829009,9.845869345195924,53.333333333333336
all,20240131,5,t1,15,15,-1.8712003382525075,1.5094339622641284,9.344478104355545,60.0
all,20240131,5,t1_net,15,15,-2.031200338252507,1.3494339622641285,9.344478104355545,60.0
all,20240131,5,excess_csi300,15,15,-5.784522694216796,-2.40388839370016,9.344478104355545,20.0
all,20240131,5,excess_csi1000,15,15,-2.8690376140489837,0.5115966864676524,9.344478104355545,53.333333333333336
all,20240131,10,close,15,15,1.3791752602719929,2.535657686212356,9.49018646743047,66.66666666666666
all,20240131,10,t1,15,15,3.291935726860737,4.2857142857142705,9.121061128681292,80.0
all,20240131,10,t1_net,15,15,3.131935726860737,4.12571428571427,9.121061128681292,80.0
all,20240131,10,excess_csi300,15,15,-5.066919632084025,-4.073141073230492,9.121061128681292,6.666666666666667
all,20240131,10,excess_csi1000,15,15,-5.151283653121843,-4.157505094268309,9.121061128681292,6.666666666666667
all,20240131,20,close,15,15,6.427500378226367,2.5490196078431726,15.794618748930684,66.66666666666666
all,20240131,20,t1,15,15,8.446488064753357,3.6977491961414977,15.781264525219774,73.33333333333333
all,20240131,20,t1_net,15,15,8.286488064753359,3.5377491961414975,15.781264525219775,73.33333333333333
all,20240131,20,excess_csi300,15,15,-1.2501133297348908,-5.99885219834675,15.781264525219774,26.666666666666668
all,20240131,20,excess_csi1000,15,15,-3.1910075385522685,-7.939746407164128,15.781264525219774,26.666666666666668
all,20240229,5,close,15,15,1.5627793165776256,0.2858776443682043,4.889863684015857,53.333333333333336
all,20240229,5,t1,15,15,1.4935590065507458,-0.05698005698007158,4.989350583214057,46.666666666666664
all,20240229,5,t1_net,15,15,1.3335590065507459,-0.21698005698007158,4.989350583214057,46.666666666666664
all,20240229,5,excess_csi300,15,15,1.72207083075083,0.1715317672200123,4.989350583214057,53.333333333333336
all,20240229,5,excess_csi1000,15,15,3.319991935435515,1.7694528719046976,4.989350583214057,73.33333333333333
all,20240229,10,close,15,15,3.6132209178111827,2.148760330578514,6.273182374179943,73.33333333333333
all,20240229,10,t1,15,15,3.548466425484731,2.105896510228611,6.452937829397134,73.33333333333333
all,20240229,10,t1_net,15,15,3.3884664254847316,1.945896510228611,6.452937829397134,73.33333333333333
all,20240229,10,excess_csi300,15,15,2.8582331231178704,1.4156632078617504,6.452937829397134,66.66666666666666
all,20240229,10,excess_csi1000,15,15,1.9803870057119146,0.5378170904557944,6.452937829397134,53.333333333333336
all,20240229,20,close,15,15,6.280946581958133,1.220865704772467,13.524397892004595,53.333333333333336
all,20240229,20,t1,15,15,6.236308138646219,2.127659574468077,13.82622382850174,53.333333333333336
all,20240229,20,t1_net,15,15,6.076308138646221,1.9676595744680772,13.826223828501744,53.333333333333336
all,20240229,20,excess_csi300,15,15,6.71228139640574,2.603632832227598,13.82622382850174,53.333333333333336
all,20240229,20,excess_csi1000,15,15,6.601049364732547,2.4924008005544063,13.826223828501742,53.333333333333336
all,20240329,5,close,15,15,0.5030316024596891,1.8987341772152,6.174109995497457,53.333333333333336
all,20240329,5,t1,15,15,0.3228929938959652,1.5801354401805856,5.968339496904818,53.333333333333336
all,20240329,5,t1_net,15,15,0.16289299389596507,1.4201354401805857,5.968339496904818,53.333333333333336
all,20240329,5,excess_csi300,15,15,2.0516363025403743,3.308878748824995,5.968339496904818,60.0
all,20240329,5,excess_csi1000,15,15,1.9444777533363187,3.201720199620939,5.968339496904818,60.0
all,20240329,10,close,15,15,-8.592060336283874,-8.720271800679491,9.894854130740345,20.0
all,20240329,10,t1,15,15,-8.758296824507568,-9.029345372460472,9.727596249780142,20.0
all,20240329,10,t1_net,15,15,-8.918296824507568,-9.189345372460473,9.727596249780142,20.0
all,20240329,10,excess_csi300,15,15,-6.407342756885899,-6.6783913048388035,9.727596249780142,26.666666666666668
all,20240329,10,excess_csi1000,15,15,0.09924709252855811,-0.17180145542434744,9.727596249780142,46.666666666666664
all,20240329,20,close,15,15,-3.497443009672595,-1.6011644832605532,6.752943702785174,26.666666666666668
all,20240329,20,t1,15,15,-3.662305146702047,-1.744186046511631,6.687730908561971,20.0
all,20240329,20,t1_net,15,15,-3.8223051467020466,-1.904186046511631,6.687730908561971,20.0
all,20240329,20,excess_csi300,15,15,-3.905591013561158,-1.987471913370742,6.687730908561971,20.0
all,20240329,20,excess_csi1000,15,15,-2.55374636755544,-0.6356272673650243,6.687730908561971,40.0
all,20240430,5,close,15,15,3.7339184466134134,2.9548989113530544,3.5259853946164617,93.33333333333333
all,20240430,5,t1,15,15,2.366522146027791,1.847575057736739,3.390835753260692,73.33333333333333
all,20240430,5,t1_net,15,15,2.20652214602779,1.687575057736739,3.390835753260692,73.33333333333333
all,20240430,5,excess_csi300,15,15,2.136869790605319,1.6179227023142673,3.390835753260692,73.33333333333333
all,20240430,5,excess_csi1000,15,15,2.9481258781539137,2.4291787898628625,3.390835753260692,80.0
all,20240430,10,close,15,15,4.412245779284203,2.114330462020364,6.115055796459148,80.0
all,20240430,10,t1,15,15,3.035068283694355,1.0382255781028693,5.9698041839907905,60.0
all,20240430,10,t1_net,15,15,2.875068283694355,0.8782255781028693,5.9698041839907905,60.0
all,20240430,10,excess_csi300,15,15,2.485763272948628,0.48892056735714284,5.9698041839907905,53.333333333333336
all,20240430,10,excess_csi1000,15,15,3.812878735839111,1.8160360302476253,5.9698041839907905,73.33333333333333
all,20240430,20,close,15,15,2.733181502932382,1.4507253626813599,9.791168982673375,60.0
all,20240430,20,t1,15,15,1.3924421308696557,0.5786080343858524,9.758493570095691,53.333333333333336
all,20240430,20,t1_net,15,15,1.2324421308696556,0.41860803438585237,9.758493570095691,53.333333333333336
all,20240430,20,excess_csi300,15,15,3.5235145095531624,2.7096804130693597,9.758493570095691,60.0
all,20240430,20,excess_csi1000,15,15,5.88038236445856,5.066548267974757,9.758493570095691,73.33333333333333
all,20240531,5,close,15,15,-1.2706610197179595,-1.3961605584642323,4.944302376193495,40.0
all,20240531,5,t1,15,15,-1.1818139155127476,-1.9664545980335402,4.58739742943692,33.33333333333333
all,20240531,5,t1_net,15,15,-1.3418139155127478,-2.1264545980335403,4.58739742943692,33.33333333333333
all,20240531,5,excess_csi300,15,15,-0.7740394276780919,-1.5586801101988845,4.587397429436919,33.33333333333333
all,20240531,5,excess_csi1000,15,15,1.297774223933928,0.5131335414131355,4.58739742943692,66.66666666666666
all,20240531,10,close,15,15,-1.2109504867626464,-0.10881392818280489,8.439527624314625,46.666666666666664
all,20240531,10,t1,15,15,-1.1417907506630074,0.879120879120876,7.970921269239039,53.333333333333336
all,20240531,10,t1_net,15,15,-1.3017907506630073,0.719120879120876,7.970921269239039,53.333333333333336
all,20240531,10,excess_csi300,15,15,0.3224997374718157,2.343411367255699,7.970921269239039,60.0
all,20240531,10,excess_csi1000,15,15,0.762901193716903,2.7838128235007864,7.970921269239039,60.0
all,20240531,20,close,15,15,-1.8904564349084538,-3.3112304238862245,11.358164989258333,40.0
all,20240531,20,t1,15,15,-1.7904066903192584,-2.1039603960395947,11.313539557440468,40.0
all,20240531,20,t1_net,15,15,-1.9504066903192583,-2.263960396039595,11.313539557440468,40.0
all,20240531,20,excess_csi300,15,15,1.2904892309689593,0.9769355252486234,11.313539557440468,53.333333333333336
all,20240531,20,excess_csi1000,15,15,4.726169059749308,4.41261535402897,11.313539557440468,60.0
all,20240628,5,close,15,15,-1.230362318031369,-1.4965713660499258,3.687561897338079,46.666666666666664
all,20240628,5,t1,15,15,-1.106641262264996,-1.1907752094252322,3.8189620461318774,46.666666666666664
all,20240628,5,t1_net,15,15,-1.2666412622649958,-1.350775209425232,3.8189620461318774,46.666666666666664
all,20240628,5,excess_csi300,15,15,0.24815243502985804,0.1640184878696216,3.818962046131877,60.0
all,20240628,5,excess_csi1000,15,15,1.5137377871959121,1.4296038400356759,3.8189620461318774,73.33333333333333
all,20240628,10,close,15,15,1.4916647118612196,1.6678248783877692,6.106717548023958,73.33333333333333
all,20240628,10,t1,15,15,1.6095266623477853,1.4647137150466172,6.0446704788135355,73.33333333333333
all,20240628,10,t1_net,15,15,1.4495266623477852,1.3047137150466173,6.0446704788135355,73.33333333333333
all,20240628,10,excess_csi300,15,15,1.7757427728470916,1.6309298255459237,6.0446704788135355,73.33333333333333
all,20240628,10,excess_csi1000,15,15,2.8691316727935043,2.7243187254923362,6.0446704788135355,73.33333333333333
all,20240628,20,close,15,15,-0.7493489639385414,-1.3953488372092981,5.088312427240991,33.33333333333333
all,20240628,20,t1,15,15,-0.6334794701934412,-1.374867379539757,5.016360937488719,33.33333333333333
all,20240628,20,t1_net,15,15,-0.7934794701934412,-1.534867379539757,5.016360937488719,33.33333333333333
all,20240628,20,excess_csi300,15,15,1.3471410417767917,0.6057531324304755,5.016360937488719,53.333333333333336
all,20240628,20,excess_csi1000,15,15,4.187475740731118,3.446087831384803,5.016360937488718,80.0
all,20240731,5,close,15,15,-5.389385102276233,-6.873905429071813,3.318018654094546,0.0
all,20240731,5,t1,15,15,-5.53435040792832,-6.36363636363636,3.630443029141089,6.666666666666667
all,20240731,5,t1_net,15,15,-5.6943504079283205,-6.52363636363636,3.630443029141089,6.666666666666667
all,20240731,5,excess_csi300,15,15,-3.2596637836095312,-4.08894973931757,3.6304430291410887,26.666666666666668
all,20240731,5,excess_csi1000,15,15,-2.769467064608563,-3.5987530203166025,3.6304430291410887,33.33333333333333
all,20240731,10,close,15,15,-6.385746526978338,-6.463620981387475,3.6299151148447115,0.0
all,20240731,10,t1,15,15,-6.535092491649605,-6.400270910938022,3.763641318765127,0.0
all,20240731,10,t1_net,15,15,-6.695092491649606,-6.560270910938022,3.763641318765127,0.0
all,20240731,10,excess_csi300,15,15,-3.3172182258640692,-3.1823966451524854,3.7636413187651274,26.666666666666668
all,20240731,10,excess_csi1000,15,15,-1.8406063716185899,-1.705784790907006,3.7636413187651274,33.33333333333333
all,20240731,20,close,15,15,-8.711480104447743,-9.41404566996985,5.018177951457953,6.666666666666667
all,20240731,20,t1,15,15,-8.859037118415607,-9.879982854693537,5.073890864274847,6.666666666666667
all,20240731,20,t1_net,15,15,-9.019037118415607,-10.039982854693537,5.073890864274847,6.666666666666667
all,20240731,20,excess_csi300,15,15,-4.976011442675681,-5.996957178953611,5.073890864274847,20.0
all,20240731,20,excess_csi1000,15,15,-0.5008012697399858,-1.5217470060179163,5.073890864274847,33.33333333333333
all,20240830,5,close,15,15,-3.168185985862813,-3.9735099337748325,4.200960189131664,26.666666666666668
all,20240830,5,t1,15,15,-2.8572333930868297,-3.3333333333333437,4.283050481633402,33.33333333333333
all,20240830,5,t1_net,15,15,-3.0172333930868307,-3.493333333333344,4.283050481633403,33.33333333333333
all,20240830,5,excess_csi300,15,15,-1.82614038911226,-2.3022403293587734,4.283050481633403,33.33333333333333
all,20240830,5,excess_csi1000,15,15,-2.321407197715583,-2.7975071379620964,4.283050481633402,33.33333333333333
all,20240830,10,close,15,15,-4.7994064525589275,-6.381798002219751,4.744201093651025,26.666666666666668
all,20240830,10,t1,15,15,-4.48908864561831,-6.364477335800178,4.925482253194459,20.0
all,20240830,10,t1_net,15,15,-4.649088645618309,-6.524477335800178,4.925482253194459,20.0
all,20240830,10,excess_csi300,15,15,-1.2497733722547582,-3.1251620624366256,4.925482253194461,33.33333333333333
all,20240830,10,excess_csi1000,15,15,-1.856393262073485,-3.7317819522553526,4.92548225319446,33.33333333333333
all,20240830,20,close,15,15,21.96787438560411,22.257335837238166,8.99554282088777,100.0
all,20240830,20,t1,15,15,22.361506410668635,22.134882576183234,9.110046775608017,100.0
all,20240830,20,t1_net,15,15,22.201506410668635,21.974882576183234,9.11004677560802,100.0
all,20240830,20,excess_csi300,15,15,-7.993221337568657,-8.219845172054054,9.110046775608021,20.0
