strategy_variant,subset,period_split,trade_date,window,variant,holding_count,return_pct,win_rate_pct
baseline,all,all,20240131,5,close,15,-3.6710137780846415,53.333333333333336
baseline,all,all,20240229,5,close,15,1.5627793165776256,53.333333333333336
baseline,all,all,20240329,5,close,15,0.5030316024596891,53.333333333333336
baseline,all,all,20240430,5,close,15,2.9423699976716193,86.66666666666667
baseline,all,all,20240531,5,close,15,-1.5764301189786436,40.0
baseline,all,all,20240628,5,close,15,-1.0260423317477119,40.0
baseline,all,all,20240731,5,close,15,-4.968550305594496,0.0
baseline,all,all,20240830,5,close,15,-3.1144925067911204,33.33333333333333
baseline,all,all,20240930,5,close,5,-5.770583228169402,0.0
baseline,all,all,20241031,5,close,14,10.268346643879314,85.71428571428571
baseline,all,all,20241129,5,close,15,2.3756403181074233,53.333333333333336
baseline,all,all,20241231,5,close,15,-1.7246726470142295,40.0
baseline,all,all,20250127,5,close,15,8.23407428489379,86.66666666666667
baseline,all,all,20250228,5,close,15,3.588715245589481,80.0
baseline,all,all,20250331,5,close,15,-9.540427387661113,20.0
baseline,all,all,20250430,5,close,15,2.2448075535790317,86.66666666666667
baseline,all,all,20250530,5,close,15,4.913562001567727,80.0
baseline,all,all,20250630,5,close,15,1.3389070827340497,53.333333333333336
baseline,all,all,20250731,5,close,15,2.6232109458783155,66.66666666666666
baseline,all,all,20250829,5,close,15,0.6000041517049938,46.666666666666664
baseline,all,all,20250930,5,close,15,-1.125828553507456,33.33333333333333
baseline,all,all,20251031,5,close,15,2.8870042713622537,60.0
baseline,all,all,20251128,5,close,15,1.7141940779111604,53.333333333333336
baseline,all,all,20251231,5,close,15,6.4355799674147125,66.66666666666666
baseline,all,all,20240131,5,t1,15,-1.8712003382525075,60.0
baseline,all,all,20240229,5,t1,15,1.4935590065507458,46.666666666666664
baseline,all,all,20240329,5,t1,15,0.3228929938959652,53.333333333333336
baseline,all,all,20240430,5,t1,15,1.673870951392128,66.66666666666666
baseline,all,all,20240531,5,t1,15,-1.7041092371790272,33.33333333333333
baseline,all,all,20240628,5,t1,15,-0.8601248648145194,40.0
baseline,all,all,20240731,5,t1,15,-5.10691770548124,13.333333333333334
baseline,all,all,20240830,5,t1,15,-2.8180188473050505,33.33333333333333
baseline,all,all,20240930,5,t1,5,-13.445458750685514,0.0
baseline,all,all,20241031,5,t1,14,10.055814205003356,85.71428571428571
baseline,all,all,20241129,5,t1,15,1.8551212683724756,53.333333333333336
baseline,all,all,20241231,5,t1,15,-1.3523309500413505,46.666666666666664
baseline,all,all,20250127,5,t1,15,7.015711688309592,86.66666666666667
baseline,all,all,20250228,5,t1,15,4.00342221819744,73.33333333333333
baseline,all,all,20250331,5,t1,15,-9.587170460484826,20.0
baseline,all,all,20250430,5,t1,15,1.9007706928815762,86.66666666666667
baseline,all,all,20250530,5,t1,15,5.734915617904917,80.0
baseline,all,all,20250630,5,t1,15,1.3983080302896822,46.666666666666664
baseline,all,all,20250731,5,t1,15,2.8608229632276543,73.33333333333333
baseline,all,all,20250829,5,t1,15,0.2774168557611096,46.666666666666664
baseline,all,all,20250930,5,t1,15,-2.6287163816769006,13.333333333333334
