subset,period_split,window,variant,sample_count,available_count,pending_count,mean_return_pct,median_return_pct,std_pct,monthly_t,sharpe_monthly,win_rate_pct
all,all,5,close,360,349,11,0.9832386380932673,0.5698005698005604,8.198803798668488,0.9019958462783677,0.18411913112432451,54.44126074498568
all,all,5,t1,360,349,11,0.7394448166716932,0.5893909626719207,8.035756329336225,0.3610435355009864,0.07369770307565338,52.72206303724928
all,all,5,t1_net,360,349,11,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,5,excess_csi300,360,349,11,0.6754588250938797,-0.2163649798522016,7.263874701793597,0.7887826206204108,0.16100957820794431,48.13753581661891
all,all,5,excess_csi1000,360,349,11,1.047960593191487,0.636758793255976,6.974069384262933,2.2072888961374186,0.4505609592039843,55.30085959885387
all,all,5,excess_eligible,360,349,11,0.5483950172898692,-0.17711584291354976,6.980121873170879,1.3495136220234092,0.2754683145743763,48.99713467048711
all,all,10,close,360,349,11,1.120098810651536,0.6796116504854233,9.803718374029778,0.9928693799331209,0.20266861350580614,52.72206303724928
all,all,10,t1,360,349,11,0.8795282963812836,0.6307617661329479,9.694366671204886,0.46840695040032815,0.09561316837116272,52.72206303724928
all,all,10,t1_net,360,349,11,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,10,excess_csi300,360,349,11,0.5942590269229998,-0.210233302366869,9.049659110970298,0.5999522121626867,0.12246473248771485,48.42406876790831
all,all,10,excess_csi1000,360,349,11,0.683617073885045,-0.18031905716484609,8.81000656928025,0.740749938997762,0.1512049481285236,48.71060171919771
all,all,10,excess_eligible,360,349,11,0.4527620193326712,-0.4086540975540469,8.718870460334031,0.8393715452381021,0.17133599920373313,45.845272206303726
all,all,20,close,360,349,11,2.3566975973604842,-0.04188032700753741,12.659274258083007,1.6180726501409015,0.33028769663317775,49.570200573065904
all,all,20,t1,360,349,11,2.1269428625730873,-0.3076923076922977,12.71537747779578,1.1889979568710554,0.24270319162881715,48.99713467048711
all,all,20,t1_net,360,349,11,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,20,excess_csi300,360,349,11,0.26064283115256187,-1.5499092164085182,11.41418272599832,0.2073339171960816,0.042321858625238226,42.693409742120345
all,all,20,excess_csi1000,360,349,11,-0.15574615691224422,-1.2578276524202847,11.66907593998949,-0.3547818775583298,-0.07241954750037385,42.40687679083094
all,all,20,excess_eligible,360,349,11,0.4181405959954049,-1.2845227982659986,11.229867700259936,0.5053003876962758,0.1031440097238659,44.69914040114613
all,discovery,5,close,180,169,11,-0.09205189306185756,-0.3457814661134151,7.607520129754538,-0.2783658382461663,-0.08035729582230997,47.337278106508876
all,discovery,5,t1,180,169,11,-0.30742461968234475,-0.3999000249937379,7.568940097913729,-0.627337043344617,-0.1810966054238193,46.74556213017752
all,discovery,5,t1_net,180,169,11,-0.4674246196823449,-0.5599000249937379,7.568940097913729,-0.7297864042144657,-0.21067118846207544,46.15384615384615
all,discovery,5,excess_csi300,180,169,11,-0.3760634041231882,-0.5510358991177022,6.800725608025108,-0.77501832678772,-0.22372851979889175,44.97041420118343
all,discovery,5,excess_csi1000,180,169,11,0.4817864757479858,0.9042546304405374,6.602957881930436,0.3457818424150511,0.09981861989960726,56.80473372781065
all,discovery,5,excess_eligible,180,169,11,0.18144545958604374,0.0647841254203283,6.62264131108218,0.23444722481651842,0.0676790841792888,50.29585798816568
all,discovery,10,close,180,169,11,-0.2531430781689075,-0.5320092214931682,9.96288488948187,-0.2949274577919665,-0.08513822357380192,48.5207100591716
all,discovery,10,t1,180,169,11,-0.4662722424192331,-0.572022880915235,9.92068551971732,-0.5957701137576812,-0.1719840177765656,47.337278106508876
all,discovery,10,t1_net,180,169,11,-0.6262722424192331,-0.732022880915235,9.92068551971732,-0.6824386258906356,-0.1970030621816784,47.337278106508876
all,discovery,10,excess_csi300,180,169,11,-0.3980957578791444,-1.3240208007767147,9.145773770891328,-0.5195731869393446,-0.14998785967157116,43.19526627218935
all,discovery,10,excess_csi1000,180,169,11,0.091508460364275,-0.5428584236719214,8.872952681424659,-0.2727005713961495,-0.07872187415186584,46.74556213017752
all,discovery,10,excess_eligible,180,169,11,0.3436483009410217,-0.4575275528827927,8.80046288140833,0.3305769092138517,0.09542933376124588,44.97041420118343
all,discovery,20,close,180,169,11,1.1930459684355963,-1.3953488372092981,12.721295469811487,0.4279614695013477,0.12354183480969545,43.19526627218935
all,discovery,20,t1,180,169,11,1.009309082329976,-1.6000000000000014,13.020728231879765,0.1515995755024834,0.043763027862695904,42.01183431952663
all,discovery,20,t1_net,180,169,11,0.8493090823299758,-1.7600000000000013,13.020728231879765,0.09041786658511168,0.02610138980623295,42.01183431952663
all,discovery,20,excess_csi300,180,169,11,-1.4154411082117506,-2.1422520655872583,10.790673693349802,-1.1181961350032488,-0.32279541977546244,35.50295857988166
all,discovery,20,excess_csi1000,180,169,11,-1.337307371637774,-1.7555144132173295,11.56395435942955,-0.917740909191109,-0.26492898048390934,40.828402366863905
all,discovery,20,excess_eligible,180,169,11,0.103588120334456,-1.4380912531293841,10.761757129350244,0.045780552089221764,0.013215707036180935,44.37869822485207
